num_points variable r2 ev sigma diff
4 M 0.921714319331 0.922438687696 0.575018443857 0.0473678242187
4 Y 0.0678093082648 0.0685509475252 0.862803531796 0.0271548125
4 Z 0.911079598798 0.912037752075 0.37486796673 0.00101834375
4 alpha 0.0887954098326 0.0896525338943 0.818025600664 0.219963933594
4 overshoot 0.311597319317 0.311597455236 0.494586210835 0.0601570546875
4 diffusion 0.421232850741 0.433831474971 0.283731779394 0.519137011719
4 age 0.935483884695 0.935514897227 0.326705224625 0.211323082451
4 X_c 0.914576219046 0.91599318309 0.499994274397 0.0407526736738
4 mass_cc 0.619636303517 0.621672651543 0.42597872146 0.00926889962861
4 Y_surf 0.447581865425 0.454157778784 0.554794335366 0.0348153575428
4 L 0.991563441981 0.99157541891 0.261259795618 0.0976675459998
4 radius 0.979812765945 0.980027319156 0.372995564683 0.0220559060265
4 M 0.924392726883 0.924736844627 0.570812814939 0.04699778125
4 Y 0.0572486400522 0.0577461799625 0.860854202966 0.0273190273438
4 Z 0.918524825049 0.919793739049 0.38041389706 0.0009701328125
4 alpha 0.099097199545 0.0997206063719 0.774672255071 0.212361019531
4 overshoot 0.314596357014 0.316234545749 0.496198733669 0.062781625
4 diffusion 0.414139298244 0.414351518442 0.296455812966 0.470083105469
4 age 0.916808107928 0.916811079629 0.331009629903 0.207572690153
4 X_c 0.913485383129 0.914888199985 0.505809095842 0.040906306388
4 mass_cc 0.635508773226 0.63873234584 0.420019017277 0.00942773058061
4 Y_surf 0.464807451543 0.465810854487 0.587124428217 0.0361909800716
4 L 0.991022958486 0.991024943264 0.26703402718 0.0994640645735
4 radius 0.976252660141 0.976298113198 0.362217002235 0.0213657981054
4 M 0.920121617663 0.921538798944 0.584895723973 0.0482044375
4 Y 0.0578389128465 0.0661508221489 0.867023441072 0.0272552695312
4 Z 0.916980817802 0.918197366234 0.38065350902 0.00098799609375
4 alpha 0.10626814636 0.106353094865 0.785450477829 0.212612816406
4 overshoot 0.306491019659 0.306494468217 0.491613387383 0.059866578125
4 diffusion 0.419509935249 0.420241339551 0.29299823384 0.4876915625
4 age 0.931019443066 0.931037312482 0.331415269673 0.213000103359
4 X_c 0.913802166888 0.915207268327 0.506911803539 0.0406003067119
4 mass_cc 0.623627233518 0.624888252737 0.422551645207 0.00929231652609
4 Y_surf 0.459513131452 0.462548250822 0.594215264303 0.0366505612066
4 L 0.989052146577 0.989085374477 0.271925379536 0.100036739205
4 radius 0.978004069671 0.978253600748 0.376839037717 0.0222361898787
4 M 0.921566744122 0.922183517286 0.573205752482 0.0481766289062
4 Y 0.0621742560359 0.0669226548543 0.819237133613 0.0262782460937
4 Z 0.909828280919 0.910131735001 0.377540369363 0.00102038671875
4 alpha 0.098318398406 0.0984183746088 0.800164508123 0.216702089844
4 overshoot 0.296313590841 0.29801530379 0.492556951315 0.0616073125
4 diffusion 0.442045174198 0.442865600849 0.285386051752 0.510511746094
4 age 0.925705629219 0.925757109375 0.341102968177 0.217155631315
4 X_c 0.914374417255 0.915971703603 0.498872010508 0.0406116326329
4 mass_cc 0.615689125999 0.619137627971 0.417455941986 0.00933823001465
4 Y_surf 0.463969831861 0.464488743454 0.58870912001 0.036521761907
4 L 0.99181547492 0.991827573405 0.262329589543 0.0977970178364
4 radius 0.977116189121 0.97719042456 0.365914851607 0.0217181329959
4 M 0.920227359086 0.920634429945 0.585152085018 0.04865178125
4 Y 0.0629721813034 0.068673899603 0.849212909728 0.0268251796875
4 Z 0.918405026582 0.918637096303 0.365869930522 0.00100991796875
4 alpha 0.117789676891 0.119430027031 0.764740418595 0.2094900625
4 overshoot 0.310603504862 0.311024423678 0.488914786272 0.0596415390625
4 diffusion 0.399653910163 0.401309726678 0.288869737624 0.516734097656
4 age 0.921183336205 0.921184744551 0.344556065703 0.224355232731
4 X_c 0.911658632441 0.91305789788 0.504175036548 0.0408346807328
4 mass_cc 0.635322611456 0.636902372923 0.420473049446 0.00931594585838
4 Y_surf 0.467307440173 0.469247169072 0.573435754543 0.0352408843066
4 L 0.991255828494 0.991262904868 0.265242323066 0.0943148345224
4 radius 0.976413232673 0.976475444817 0.37435756617 0.0222523559089
4 M 0.923613045394 0.924680922034 0.577711365338 0.047872671875
4 Y 0.0598355733558 0.0705241501338 0.831654251637 0.0265592421875
4 Z 0.921004623734 0.921650500125 0.375411589233 0.0009790625
4 alpha 0.112542339838 0.112563838326 0.7702030473 0.209658992187
4 overshoot 0.299407344135 0.301219856788 0.493264114876 0.0584148085937
4 diffusion 0.439922951263 0.441975191738 0.289086629966 0.478648699219
4 age 0.921531395203 0.921549722674 0.336319145683 0.21655505966
4 X_c 0.912593931387 0.914089104736 0.500637028089 0.0402817309876
4 mass_cc 0.612266087465 0.612961791724 0.421502906467 0.00910023514722
4 Y_surf 0.439789167784 0.44206880147 0.600439964813 0.0362733097697
4 L 0.990509219417 0.990513731451 0.275162106617 0.0997527291664
4 radius 0.97959607671 0.979853781959 0.373509864672 0.0223479027373
4 M 0.923703970546 0.923853208196 0.582305575123 0.047820734375
4 Y 0.0588530835757 0.0611515146491 0.841011446579 0.02678240625
4 Z 0.917953858571 0.91805750952 0.36816735876 0.001016796875
4 alpha 0.118433325668 0.118456152732 0.76626231912 0.207359644531
4 overshoot 0.282342418021 0.284980314507 0.4909360376 0.06223621875
4 diffusion 0.416227091815 0.42054959398 0.282282961379 0.4510405
4 age 0.929153341754 0.929416852819 0.33793882254 0.224271802842
4 X_c 0.911374015961 0.912635808178 0.510457741329 0.0410548442395
