num_points	parameter	r2	ev	dist	diff	sigma
4	M	0.917430452325	0.917547091865	0.580973735249	0.0484298203125	0.0874511402529
4	Y	0.0781129496745	0.0797047781839	0.824506364991	0.02629040625	0.0327254409408
4	Z	0.920962299225	0.921478599701	0.373730715981	0.00067515234375	0.00239327576343
4	alpha	0.112429028729	0.113561370715	0.765936918168	0.209544552734	0.279142077517
4	overshoot	0.308062774972	0.30812005143	0.478148666211	0.0534109472656	0.11972174804
4	diffusion	0.480045767894	0.482252112767	0.25167901521	1.20751591406	5.78303932373
4	age	0.937140803823	0.93723529661	0.363128065752	0.201660905514	0.593537329184
4	X_c	0.907929015046	0.908118824205	0.515536704021	0.0405229438404	0.0845754420671
4	Y_surf	0.809893254157	0.810157941432	0.450664314543	0.0284748195154	0.0610965739377
4	L	0.990498158975	0.990520528629	0.27098447622	0.126442968569	0.551969557262
4	radius	0.981139503581	0.98128622259	0.386710503625	0.0220134076135	0.0581324749318
4	M	0.919691447586	0.919774472222	0.572912521557	0.0472819003906	0.0873290561773
4	Y	0.0780328180492	0.0800943007041	0.810456038772	0.0258749042969	0.0326879707967
4	Z	0.931675389306	0.932492112317	0.377632093446	0.000690513671875	0.00244632505325
4	alpha	0.0992286884036	0.0996587527033	0.79178124954	0.216028695312	0.278036691379
4	overshoot	0.295557356909	0.299349808405	0.489677982856	0.0543337851563	0.119408003606
4	diffusion	0.482859944052	0.483666045575	0.254296529462	1.2548270918	5.85984899719
4	age	0.937554642375	0.937906289741	0.356819819546	0.199521873357	0.59917309766
4	X_c	0.908581266519	0.908709208282	0.521611351802	0.0410256608083	0.0847089226375
4	Y_surf	0.811513665511	0.811559367417	0.435266828871	0.027582995977	0.061473330019
4	L	0.990115330471	0.9901154305	0.268176992026	0.125841105689	0.556181799265
4	radius	0.979306288378	0.979322281589	0.383375320701	0.0216043173994	0.0580108397837
4	M	0.920972113127	0.921148828416	0.563272587379	0.0468172167969	0.0868566664087
4	Y	0.0851872592854	0.0865084437241	0.804071362467	0.0258055039062	0.0326977307005
4	Z	0.918909402784	0.919318068544	0.38164784703	0.000679865234375	0.00237937082866
4	alpha	0.109773812362	0.109784687569	0.801890577142	0.217223097656	0.277005306913
4	overshoot	0.295124515746	0.295826559211	0.492925977721	0.0554921601562	0.118523753268
4	diffusion	0.492920468203	0.495194818281	0.252124319363	1.26123010156	6.03656742707
4	age	0.939676896421	0.939947445702	0.362111752332	0.197636807554	0.597210653204
4	X_c	0.911312734139	0.91154510201	0.506936344215	0.039635177163	0.0850400924777
4	Y_surf	0.80442730815	0.804690023264	0.453051857127	0.0288663487005	0.0621835036869
4	L	0.991062945186	0.99108657607	0.271583662724	0.128090394775	0.567273349192
4	radius	0.980498190442	0.980659202069	0.37249449603	0.020949486398	0.0575125219541
4	M	0.920312162975	0.92046926714	0.565566008689	0.0469864140625	0.0878847325806
4	Y	0.0951090707705	0.0974244477315	0.800940193353	0.0255789335937	0.0326786688936
4	Z	0.931553641245	0.932652575176	0.367782246632	0.000655990234375	0.00238116058483
4	alpha	0.118556556044	0.119556100072	0.781280202693	0.21232796875	0.278039536939
4	overshoot	0.298139393265	0.3009746683	0.472746740569	0.0522241835938	0.117400439384
4	diffusion	0.444996567536	0.454774225879	0.253000724182	1.26812782422	6.0464639937
4	age	0.941376307364	0.941451915409	0.350974289799	0.195070517412	0.591666413319
4	X_c	0.910528288098	0.91099600755	0.511361763487	0.0402174454748	0.085003752511
4	Y_surf	0.817206312804	0.817359247356	0.443196578177	0.0275288796851	0.0606686613606
4	L	0.988971599007	0.989001930719	0.265101066713	0.124866735164	0.561933193862
4	radius	0.980726533773	0.980888241289	0.38135298566	0.0215812834422	0.0586000969545
4	M	0.918804755602	0.918911987867	0.57603691306	0.0477024003906	0.0869161208646
4	Y	0.0787482009643	0.0788688857604	0.792930490145	0.0254838808594	0.0327926315374
4	Z	0.917792516346	0.919070031586	0.370735662966	0.00062913671875	0.00216798324448
4	alpha	0.105946489211	0.106375760028	0.778071509749	0.213291037109	0.278910771649
4	overshoot	0.311336646707	0.311402842118	0.487575915696	0.0542946074219	0.117787817181
4	diffusion	0.423358784233	0.432582420574	0.251505094005	1.20758148047	5.76872392005
4	age	0.940148752253	0.940255787307	0.359735713723	0.191325224569	0.571695291676
4	X_c	0.909275517227	0.909396621734	0.51561162426	0.0401280081746	0.0844038737338
4	Y_surf	0.804062200303	0.804458157482	0.454715894928	0.0288661819935	0.0624686650959
4	L	0.989310851063	0.989319544637	0.263635048114	0.129425048186	0.574317056912
4	radius	0.980152454326	0.980338990814	0.383235496881	0.0215358779462	0.0576243425803
4	M	0.913527271121	0.913528190719	0.596924917966	0.04915540625	0.0869373248257
4	Y	0.0817935119821	0.0819219905052	0.836436741941	0.0266890488281	0.0325801175379
4	Z	0.926130669434	0.926476991824	0.376923352796	0.000653556640625	0.00223315299888
4	alpha	0.11357763691	0.113878402378	0.803022804692	0.218865068359	0.276704790728
4	overshoot	0.286011997981	0.287711100801	0.484355221877	0.0538644511719	0.11758895055
4	diffusion	0.452696394197	0.457609829526	0.254859198484	1.22088317773	5.83683611133
4	age	0.933187498109	0.93334160176	0.364189504021	0.199609655608	0.582081920457
4	X_c	0.907452119994	0.90762396013	0.523185126922	0.0412069302454	0.0847054447868
4	Y_surf	0.815020925439	0.815020951952	0.441369339777	0.0271544758504	0.0591450633512
4	L	0.989287255462	0.989294547844	0.277583069214	0.130917932348	0.552002117468
4	radius	0.978097420738	0.978168420475	0.39750182709	0.0220649844697	0.0571996459921
