num_tracks variable r2 ev sigma diff
2 M 0.230152654038 0.257284095637 6.80107347649 0.165015
2 Y -0.519094062994 -0.518508412671 4.91077040399 0.033332
2 Z -0.300171655254 0.0024119043122 76.9076096896 0.00121278125
2 alpha -0.75858241241 -0.2503564174 6.03265565115 0.26719590918
2 overshoot -0.151042028929 0.00325107309575 43.1636221553 0.01985134375
2 diffusion -0.0956323583211 -2.7676627979e-05 14.163602144 0.0524339316406
2 age -0.281684881815 0.000453643529407 1.54106576538 0.748032576874
2 X_c 0.583586357231 0.583933863488 0.623952958158 0.0977741479205
2 Y_surf -0.0617977776779 0.00294945395103 2.02443895772 0.0458919353115
2 L 0.586563652716 0.648693797624 2.10376957414 2.85912294938
2 radius 0.0338785534409 0.145924435396 2.79983238852 0.113732119284
2 M 0.23950288533 0.241710957731 1.08537350902 0.16794109375
2 Y -0.75232131489 -0.31711421806 1.32290605838 0.0339162470703
2 Z -0.309087298549 0.000224100269101 68.4862983305 0.001344671875
2 alpha -1.28592043047 -0.0126544093034 6.60004035385 0.325758515625
2 overshoot -1.61647677215 0.000570002528806 6.89698682762 0.295212802734
2 diffusion -0.0956813365849 0.000451556417704 1.67955217912 0.0485105976562
2 age -0.207187383345 -0.0143950531975 1.14858066929 0.935810478194
2 X_c 0.470264643955 0.509010182748 0.786617055058 0.111087830545
2 Y_surf -0.441890628361 0.0637690695507 1.15526403561 0.141615057986
2 L 0.398738210928 0.53752531485 0.872822367329 3.37320348468
2 radius 0.0563714343931 0.214073356289 1.52690440466 0.103351708343
2 M 0.0578130914166 0.0671797368483 21.8974324005 0.20334565625
2 Y -0.997813090354 -0.0345519020186 11.5253870119 0.034454
2 Z -0.28222960077 0.00150518466859 187.534111365 0.000846444335938
2 alpha -0.415531289179 -0.35692780145 4.58442334428 0.260810886719
2 overshoot -0.606408981524 -0.328812404695 3.46690490548 0.164242
2 diffusion -0.0982476108753 5.2994188684e-06 159.350656164 0.003646
2 age -0.04412096293 0.0301970182622 1.79258298391 1.07885599922
2 X_c 0.442441061542 0.458583109152 0.901444592683 0.100534348421
2 Y_surf 0.323287787537 0.35988596477 1.89557202891 0.0715689882605
2 L 0.186392436477 0.225832330721 4.00512048185 2.11874514361
2 radius 0.379621118467 0.38682457178 2.36437845192 0.107569307013
2 M -0.0793104904945 0.0944179238369 2.29901170845 0.206809603516
2 Y -0.268884977882 -0.0797432604305 3.74666831925 0.0309508242188
2 Z -1.58465918389 0.142207066552 0.890764196596 0.0271499873047
2 alpha -0.773368858267 -0.483783019421 1.36741122202 0.280658953125
2 overshoot -0.205529459292 -0.00595917447907 2.97674695781 0.012905
2 diffusion -0.0579700590658 -0.0573026938791 1.25928859303 3.81064354688
2 age 0.1980031555 0.208590709546 0.64746556238 1.06804220736
2 X_c 0.529997366455 0.581609191703 0.780013882411 0.108674256184
2 Y_surf -0.478261149749 -0.148231497861 2.18904522226 0.0519451943566
2 L 0.363569335356 0.537726070433 0.674989978871 2.79735810994
2 radius 0.18062055558 0.238479954156 1.91519057731 0.118741735725
2 M -0.0703009807328 0.294442791833 1.77210747712 0.125722121094
2 Y -0.7331762317 -0.16446885242 6.56124695777 0.0323211816406
2 Z -0.312116651704 -0.00088582370934 233.607125576 0.0013722578125
2 alpha -0.0428332773972 -0.00882005043802 13.6357981309 0.249759171875
2 overshoot -0.189718146941 -0.0246548105738 4.75516291868 0.0249657392578
2 diffusion -11.2606346107 -4.32311963657 1.86534920741 39.357801
2 age -0.0672618008156 0.099858799197 1.11709556005 0.838030534137
2 X_c 0.541905450178 0.54361230346 0.622575282342 0.104189271747
2 Y_surf -1.85238377739 0.112717727637 3.77998325754 0.213850271905
2 L 0.523342893989 0.606882308394 0.653085034568 0.632422687665
2 radius 0.0161760566166 0.294719707016 1.02482559332 0.0862796626389
2 M -1.7690637231 -1.73228217513 17.8554443577 0.34195
2 Y -0.951356206894 -0.847232505808 10.2378718576 0.0339539375
2 Z -0.121017902151 0.0876204546551 10.5100785711 0.001612109375
2 alpha -0.606144058407 -0.0435949959449 44.3334200563 0.260351333984
2 overshoot -1.42605530111 -0.822461138593 10.6442575427 0.209338244141
2 diffusion -0.0983145878847 3.01950678294e-06 13785.7602638 0.004387328125
2 age -2.11469872079 -1.82682047703 1.76046050159 3.56923873583
2 X_c 0.0314051049407 0.0400683730058 0.793145869945 0.134829413964
2 Y_surf -0.80671312779 -0.418747321918 16.0341660926 0.0625366178504
2 L -0.675884104999 -0.666528463599 3.32288601092 5.03449162114
2 radius -0.224985502532 -0.12062846137 0.86772656284 0.178095865246
2 M 0.262550500799 0.280290084558 0.848214246495 0.167212
2 Y -0.35793750338 -0.115542564247 3.60741743004 0.0306168535156
2 Z 0.180014259492 0.187600730937 1.2887329588 0.0074716953125
2 alpha -1.08007653102 -0.0812589238494 3.88915338244 0.291681765625
2 overshoot -0.184375130869 0.00617837927257 3.13468623748 0.0145191757812
2 diffusion -0.0800216585277 9.46328163289e-05 1.04260131941 0.418145792969
2 age 0.0910239871452 0.209736907406 0.6491410742 1.78026528475
2 X_c 0.580325160125 0.595085989171 0.601513683751 0.100645822443
2 Y_surf 0.277821233983 0.287152038592 0.830523352741 0.0643995480786
2 L 0.683840984672 0.738404297864 0.41582384249 1.80634053567
2 radius 0.122014135774 0.198165698489 1.65713396563 0.108139982213
2 M -0.199841003372 0.0457781901931 1.39200703832 0.182127945313
2 Y -0.905205940674 -0.497880142489 1.56608452285 0.034962640625
2 Z 0.202491886921 0.26687881126 0.787064949963 0.0038966484375
2 alpha -1.27678737296 -0.00478821322905 16.5081656543 0.325289219727
2 overshoot -0.065975391292 0.00759327901672 1.36114746103 0.0456100625
2 diffusion -0.0979943312504 -5.20480791464e-05 2.70033419519 0.01422509375
2 age 0.0411835459675 0.443406535728 0.701625797913 1.9683818089
2 X_c 0.539908596411 0.540173137385 0.648629709798 0.0957530112707
2 Y_surf -0.11106510057 0.181832182576 2.03688370248 0.0502697044163
2 L 0.450072511229 0.488314849126 0.575283914057 1.29344664988
2 radius -0.437742375913 0.0313487025804 1.06420173015 0.113460177211
2 M -0.949333241232 -0.295509327342 3.97100270279 0.269793248047
2 Y -0.0166565450873 -0.00842750231453 4.32989903483 0.0293378837891
2 Z -0.197739413861 0.146321260394 0.483575702678 0.0101139931641
2 alpha -0.60469165128 -0.0208821932762 6.49185390804 0.251234148437
2 overshoot -0.071730667375 -0.0651027231493 3.47779318037 0.0802711591797
2 diffusion -0.0752894617543 -0.00203958157803 3.91650134824 0.612443066406
2 age -0.606578149802 -0.115437141917 1.89215724594 3.14659149177
2 X_c 0.43375975842 0.499793266348 0.793033896207 0.0957350676178
2 Y_surf -0.240680495908 0.0238636392453 6.12250912151 0.0501857308254
2 L -0.551784447002 0.0432685336549 7.41098066636 1.86591995442
2 radius 0.153734819747 0.331999242151 1.89648123189 0.134684095414
2 M -0.49247737221 -0.199341878213 1.47454536554 0.24127871875
2 Y -2.83706885396 -0.000566926698795 66.593555518 0.0589472060547
2 Z -0.229530435662 0.0196736312367 1.63479607713 0.00132404785156
2 alpha -0.02997639763 -0.024649502434 4.11940630494 0.250061
2 overshoot -0.478092060878 -0.206860410368 1.36798589311 0.181905397461
2 diffusion -3.24924631788 -0.791971417069 0.68340811294 16.3515666035
2 age -0.50262120344 0.0210983697905 3.51807492067 0.989367384823
2 X_c 0.291907839233 0.361131639319 0.993520285201 0.123642772422
2 Y_surf 0.606264139519 0.611801629987 0.392555641176 0.0475252779466
2 L -1.92765768665 -0.714767242511 1.67620002756 8.1321181088
2 radius 0.382351485877 0.534901335804 0.793611565187 0.156278767015
2 M 0.0923881543364 0.283491431056 0.793342278274 0.124047308594
2 Y -0.79965841522 -0.119110391086 2.26154208706 0.0331556699219
2 Z -0.301482814427 -0.00632666014229 16.444534674 0.0010355703125
2 alpha -1.17733965225 -0.100257946266 3.83987046779 0.298182693359
2 overshoot 0.00870846701921 0.00991452049334 4.5119638083 0.0912191875
2 diffusion -0.903297258582 -0.56051773237 0.597141069309 6.96050511133
2 age -0.122888094549 0.111230023452 0.727994545035 2.31980182358
2 X_c 0.43608208791 0.439754673905 0.599360782902 0.111013875918
2 Y_surf 0.331994623518 0.434349146913 1.26673720627 0.0652568548784
2 L 0.543116629107 0.553391593854 0.428452954394 1.02763571327
2 radius -0.0449966984178 0.149120734566 0.835089584691 0.0989516777776
2 M -0.0755082769049 -0.0382791037043 2.24746721391 0.208648179688
2 Y -0.289815427683 -0.00734005101812 6.91519330797 0.0295668740234
2 Z 0.336657236326 0.677107691926 1.23062184973 0.0170065195312
2 alpha -1.47980685231 3.54250522131e-05 9.10685778395 0.350076859375
2 overshoot -0.234705034507 0.00120563657732 2.40797426111 0.0083246328125
2 diffusion -0.0583504796347 0.00116227681813 1.23048411142 0.743785578125
2 age 0.266352122844 0.284719434468 0.886584432945 1.40412923699
2 X_c 0.404556608131 0.45614208883 0.700326992389 0.100492132447
2 Y_surf -0.275699967133 -0.0338850468941 6.83356330584 0.0534499285852
2 L -0.569617390385 -0.0130252407117 8.38643400278 1.84325984813
2 radius 0.152317296109 0.216255059811 1.596329388 0.14026452419
2 M -0.33610110025 -0.331977817921 1.5100812087 0.24655409375
2 Y -1.1191438442 -0.0588600876725 5.51873436692 0.0364476992188
2 Z 0.377506555991 0.377511207432 0.597089692327 0.00558731640625
2 alpha -0.540475983773 -0.0378705169716 6.21952426631 0.253388554687
2 overshoot -0.348093332715 -0.200046127546 1.95116606034 0.147485667969
2 diffusion -0.0968451598178 -0.000140546656771 9.81509518937 0.0422828515625
2 age -0.255826925514 -0.111915021212 1.39067446033 1.19659468973
2 X_c 0.456249034557 0.483337248344 0.819222013722 0.10824704623
2 Y_surf 0.052667947352 0.14767850704 0.642075449258 0.0776843911382
2 L -0.132925851016 -0.0200908200046 2.48236473566 2.3960516425
2 radius 0.315843485118 0.438325105848 0.811491746858 0.133059053916
2 M 0.0806005083897 0.202412296799 1.5268907528 0.168661064453
2 Y -1.00846587413 -0.0445184662411 9.22058173835 0.0346457070313
2 Z 0.489567806153 0.497536964623 0.554816659789 0.00559087109375
2 alpha -1.32898368524 -0.657085424108 1.47948078835 0.320640583984
2 overshoot -0.23269939442 0.00394893821566 5.02820804753 0.007346171875
2 diffusion -0.0983249464643 1.74292097532e-07 165.490602788 0.00453194628906
2 age 0.376832707879 0.451834823532 0.437196359616 0.912750768483
2 X_c 0.62094413912 0.622895501966 0.732233787796 0.0916049856174
2 Y_surf -0.980431927101 0.032659538408 15.5821410262 0.0743775199243
2 L 0.372696703825 0.414570926376 0.82533753576 1.55945445212
2 radius -0.0091248818827 0.162034791604 1.14162624554 0.0915145586924
2 M 0.180631257341 0.194619790193 3.3037485609 0.183526
2 Y -0.334810927729 -0.324627787212 5.36263857295 0.0315179746094
2 Z -0.124232461921 0.0173059241366 31.6003656604 0.0035475078125
2 alpha -0.819281766679 -0.00346072926346 61.0021645093 0.260936384766
2 overshoot -0.252094797348 0.0 inf 0.008532
2 diffusion -0.0874467859129 0.000593328503107 6.01684478784 0.335009367187
2 age 0.0469788794633 0.182404351308 0.980766532227 0.678319789753
2 X_c 0.565880858613 0.566809247195 0.655001106668 0.104937712505
2 Y_surf 0.232646674638 0.232885431011 2.0852846227 0.076510541014
2 L 0.390622127199 0.415067092195 1.76779916487 1.67147012423
2 radius 0.0672187123349 0.151592183945 2.10420567638 0.238030489618
2 M 0.144430217481 0.152196274079 3.83963611084 0.195170889648
2 Y -0.512058770712 -0.130207025782 2.06955062218 0.0296768642578
2 Z -1.6199764045 0.357705025391 4.08061065572 0.035501
2 alpha -1.48035663527 -0.00308499354248 12.383773674 0.351285816406
2 overshoot -0.234910128585 0.00202005423328 22.748861588 0.00644820703125
2 diffusion -0.0981552545697 7.07942855649e-06 24.5578683593 0.00918346484375
2 age 0.491922761546 0.547818616094 0.608084804394 1.12718652879
2 X_c 0.475459145102 0.492189871615 0.900695186958 0.112890772684
2 Y_surf -0.906624495875 -0.0932185408405 5.94710050621 0.0587308251023
2 L -0.486608498027 0.0568945594442 6.61223391509 1.67323086445
2 radius 0.388279120113 0.405864072547 1.35483812022 0.152362297713
2 M -0.336147859296 -0.319123605163 4.07079309042 0.250646994141
2 Y -0.61655393802 -0.186909623783 2.36235117625 0.031729
2 Z 0.435396323821 0.455504841461 0.755262459312 0.00697880273437
2 alpha -0.240836043172 -0.00297696552753 16.9065761241 0.250492431641
2 overshoot -0.0214113111964 -0.0172516567027 1.60555515331 0.0724354648438
2 diffusion -0.0981094997273 -1.45312110804e-05 5.76111539758 0.0074122578125
2 age 0.211439988636 0.213842691045 1.28923443932 1.53657897452
2 X_c 0.504306900934 0.522184142581 0.670024456702 0.10173460179
2 Y_surf 0.0391482063798 0.334102284067 1.15924203519 0.080177059972
2 L 0.0300732002645 0.263431225145 1.61511834401 0.974939542616
2 radius 0.189784964568 0.202278208995 1.69248056513 0.135053821845
2 M 0.086493189671 0.214634668208 1.7517265789 0.17377696875
2 Y -0.0749662042984 0.000596696999006 314.207824366 0.0297244453125
2 Z 0.202419694939 0.234402320701 3.28166949105 0.01264665625
2 alpha -1.4187097935 -0.00240572493692 57.5221508421 0.343018
2 overshoot -0.24483134314 0.00180742352331 12.6963602211 0.00769713671875
2 diffusion -0.0849284994128 5.2023689231e-05 0.984057271552 0.289651224609
2 age 0.505403829766 0.566840012665 0.453858599358 0.981148815329
2 X_c 0.400899002596 0.520050205196 0.932290871463 0.107885738043
2 Y_surf -0.402858473529 -0.0278077115997 10.6396610646 0.0458861196448
2 L -0.352569196399 0.0951745363352 2.89739984349 1.25694684203
2 radius 0.351645882574 0.355154234065 0.99395927935 0.129936645663
2 M -0.197072008555 0.302148419527 1.54870287463 0.134986857422
2 Y -0.210312726679 -0.148100655229 2.7580560127 0.0280207539062
2 Z -0.277716712421 -0.00322097902509 57.1185619829 0.0008391796875
2 alpha -2.40168562712 0.000182005530129 534.104145823 0.44750140625
2 overshoot -1.92064017524 -0.937601440037 1.66529487673 0.248645150391
2 diffusion -0.0983211651914 -1.89740023893e-06 93.3472041696 0.00440293359375
2 age -2.07068417105 -0.649868156043 0.917606987499 3.65073159467
2 X_c 0.416131387534 0.483728394504 0.681277755083 0.103732996446
2 Y_surf -0.334204260473 -0.030658170013 6.52030038018 0.0490805285726
2 L 0.481690831487 0.566403459725 0.504099779416 0.757009963099
2 radius 0.0950948153107 0.269586073917 1.06863791263 0.0819462114188
2 M 0.207226493711 0.207675190354 0.502624691117 0.1387670625
2 Y -1.76469502602 0.00716455173928 6.17951957839 0.0456954648438
2 Z -0.287426049254 -0.0437862824818 2.68869829092 0.0022630078125
2 alpha -1.07079096712 -0.000506265579159 21.2733429095 0.297892500977
2 overshoot -0.199763820573 0.00595238858159 3.375016342 0.0119314511719
2 diffusion -0.0774249107027 0.000260671195157 1.41821762792 0.54329921582
2 age 0.166435747848 0.487318804552 0.50801575642 2.03792036566
2 X_c 0.332746305731 0.458724778477 0.65390550726 0.108559427006
