l n nu dnu n_g
0 3 181.830 0.162 0 
0 4 216.070 0.154 0 
0 5 249.029 0.147 0 
0 6 281.517 0.140 0 
0 7 315.385 0.133 0 
0 8 349.909 0.063 0 
0 9 384.808 0.036 0 
0 10 419.485 0.039 0 
0 11 454.002 0.025 0 
0 12 488.030 0.024 0 
0 13 522.027 0.019 0 
0 14 556.906 0.018 0 
0 15 592.608 0.021 0 
0 16 628.831 0.034 0 
0 17 665.217 0.063 0 
0 18 701.223 0.175 0 
0 19 737.507 0.219 0 
0 20 772.716 0.230 0 
0 21 808.814 0.241 0 
0 22 844.743 0.254 0 
0 23 880.231 0.266 0 
0 24 916.094 0.279 0 
0 25 951.333 0.293 0 
1 -8 178.915 0.218 11 
1 -7 188.483 0.207 10 
1 -6 196.757 0.197 10 
1 -5 217.216 0.188 9 
1 -4 223.469 0.179 8 
1 -3 243.393 0.170 8 
1 2 255.653 0.162 3 
1 -1 275.687 0.155 7 
1 2 288.927 0.147 4 
1 1 316.009 0.140 6 
1 2 324.901 0.134 5 
1 5 353.074 0.127 3 
1 4 370.243 0.121 5 
1 5 393.209 0.117 4 
1 8 415.610 0.058 2 
1 7 437.653 0.043 4 
1 8 465.264 0.033 3 
1 9 488.247 0.027 3 
1 10 510.164 0.019 3 
1 11 539.982 0.020 3 
1 12 572.308 0.017 3 
1 13 600.333 0.021 2 
1 14 618.820 0.029 2 
1 15 648.794 0.060 2 
1 16 683.374 0.124 2 
1 17 718.753 0.267 2 
1 18 753.521 0.280 2 
1 19 788.254 0.294 2 
1 20 821.344 0.309 1 
1 21 842.927 0.324 1 
1 22 864.517 0.341 1 
1 23 898.263 0.358 1 
1 24 933.235 0.376 1 
2 -17 175.606 0.208 20 
2 -16 182.636 0.198 19 
2 -15 192.319 0.189 18 
2 -14 198.638 0.180 17 
2 -13 205.267 0.171 17 
2 -12 214.503 0.163 16 
2 -11 219.477 0.155 15 
2 -10 233.230 0.148 14 
2 -9 242.027 0.141 14 
2 -8 250.652 0.134 13 
2 -7 266.150 0.128 12 
2 -6 273.907 0.122 12 
2 -5 284.590 0.116 11 
2 -4 297.180 0.110 10 
2 -3 311.248 0.105 10 
2 -2 322.962 0.100 9 
2 -1 345.273 0.095 9 
2 0 355.642 0.091 8 
2 1 380.144 0.087 8 
2 2 396.068 0.082 7 
2 3 415.188 0.079 7 
2 4 445.198 0.075 7 
2 5 450.249 0.071 6 
2 6 484.298 0.047 6 
2 7 510.362 0.039 5 
2 8 518.532 0.031 5 
2 9 553.339 0.030 5 
2 10 588.884 0.048 5 
2 11 595.052 0.078 4 
2 12 625.357 0.211 4 
2 13 661.869 0.359 4 
2 14 696.658 0.377 4 
2 15 699.788 0.396 3 
2 16 734.303 0.416 3 
2 17 770.125 0.437 3 
2 18 805.315 0.459 3 
2 19 839.813 0.482 3 
2 20 850.386 0.506 2 
2 21 876.953 0.531 2 
2 22 912.583 0.558 2 
2 23 949.294 0.585 2 
