n_tracks variable cv ev
2 M 0.0909006003138 0.106043740606
2 Y -0.487618725459 -0.453563094776
2 Z 0.168585144063 0.225425506161
2 alpha -0.693638368822 -0.693408856861
2 overshoot -0.224900262356 0.00251484114307
2 diffusion -0.0921573330091 -0.00024586226097
2 age 0.0930254465027 0.137263735816
2 X_c 0.577830917629 0.617144826776
2 mass_cc -0.46139860615 0.026812155897
2 Y_surf -0.258740789352 0.194524892741
2 L 0.449284573129 0.477750828759
2 radius 0.168544571957 0.216667041854
2 M -1.03251351212 -0.681108548
2 Y -1.13997415829 -0.025013544871
2 Z 0.830778440434 0.841871577756
2 alpha -0.341021754799 -0.291679797987
2 overshoot -0.117147716445 -0.0918996343628
2 diffusion -0.0884456069938 0.000313100596428
2 age -0.483171537839 -0.412083936238
2 X_c 0.436246638155 0.522582255496
2 mass_cc -0.672461555779 -0.591007170345
2 Y_surf -0.882177812658 0.0662388946496
2 L -0.524384007761 -0.206151424665
2 radius 0.119280345368 0.119297468706
2 M -0.720867036942 -0.699396731936
2 Y -0.487164372458 -0.460078301713
2 Z 0.629222153056 0.696380840074
2 alpha -1.0904190482 -0.111231578459
2 overshoot -0.280076500238 -0.148009860818
2 diffusion -0.0932570459536 6.92585173656e-08
2 age -0.430328557548 -0.421775264938
2 X_c 0.485513252818 0.503766078288
2 mass_cc -0.601411280218 -0.601137261886
2 Y_surf -0.351366570952 0.141667272624
2 L -0.294696657345 -0.110166766352
2 radius 0.0273709743106 0.0762476250361
2 M 0.0778720141255 0.0789869361831
2 Y -0.347531343807 -0.0340644056539
2 Z 0.567100445597 0.567291178543
2 alpha -1.56823741805 -0.0307967901137
2 overshoot -0.228919931917 -0.202393821584
2 diffusion -0.0930678399684 -1.25029910021e-05
2 age 0.0625152131519 0.120372123231
2 X_c 0.595995227145 0.60087785384
2 mass_cc -0.100534751545 -0.0857362678549
2 Y_surf -0.686517806303 0.060061174002
2 L 0.308278660504 0.349661249512
2 radius 0.327128326731 0.327369801465
2 M 0.363107582531 0.41972895383
2 Y -1.22540932925 0.016189358926
2 Z -0.322660867693 -0.135283681053
2 alpha -0.518360775098 -0.472055352967
2 overshoot -0.0412386092092 0.0139184363226
2 diffusion -0.0920783383694 8.324710953e-05
2 age 0.336071696304 0.343360046053
2 X_c 0.581980536867 0.633433323488
2 mass_cc 0.04091402545 0.111123345293
2 Y_surf 0.167758722675 0.308995649991
2 L 0.174246719693 0.344734865377
2 radius 0.251129186336 0.256148533168
2 M 0.1512058066 0.321730803483
2 Y -0.0528884123084 0.0148489553315
2 Z -0.287801972757 -0.00287032734759
2 alpha -0.363828977736 -0.0476149350783
2 overshoot -0.142632160188 0.00381587404899
2 diffusion -0.0385188005234 0.0119456707457
2 age -0.376793734301 -0.202958049995
2 X_c 0.477042103206 0.524487222556
2 mass_cc 0.0521845299102 0.0522563435704
2 Y_surf 0.217474841837 0.219998257856
2 L 0.348908322517 0.35211520124
2 radius 0.338188529794 0.400720445756
2 M -0.345853333383 -0.326397392084
2 Y -0.805415892715 -0.168457068146
2 Z 0.664609197505 0.798266065515
