num_trees variable cv ev
1 M 0.893718961634 0.893906538003
1 Y -0.335622557357 -0.332719730836
1 Z 0.910786758479 0.911185420625
1 alpha -0.537230528689 -0.534453519655
1 overshoot 0.0873754507279 0.0876473004106
1 diffusion 0.214709814931 0.218233749822
1 age 0.911084357136 0.91114101727
1 X_c 0.906459328093 0.906526402069
1 mass_cc 0.654481317389 0.654714649443
1 Y_surf 0.763376450781 0.763548331918
1 L 0.982549935234 0.982558670298
1 radius 0.949246074076 0.949246097356
1 M 0.88365928363 0.883806152552
1 Y -0.405637260949 -0.398866976415
1 Z 0.926638093051 0.926638100341
1 alpha -0.654659582777 -0.653719388891
1 overshoot 0.14149242421 0.14241162679
1 diffusion 0.340384906176 0.340437250678
1 age 0.885887353679 0.886052116737
1 X_c 0.901146141558 0.901372948307
1 mass_cc 0.665675096336 0.666104631098
1 Y_surf 0.7611018921 0.761125337424
1 L 0.981595442246 0.981628183358
1 radius 0.955488860411 0.955509596185
1 M 0.888601157809 0.889099569171
1 Y -0.430435557048 -0.424088436607
1 Z 0.930670021976 0.930670191435
1 alpha -0.549888854376 -0.546817077806
1 overshoot -0.00914711145534 -0.00909515788656
1 diffusion 0.0969144586307 0.0982057169404
1 age 0.915892362955 0.915907231585
1 X_c 0.911328990212 0.911477539903
1 mass_cc 0.651879684105 0.652140406642
1 Y_surf 0.636560404589 0.63769166271
1 L 0.986415935855 0.986435373864
1 radius 0.962012989538 0.962248326208
1 M 0.886909109179 0.886997751713
1 Y -0.333626002081 -0.333109381069
1 Z 0.9302296448 0.930277286735
1 alpha -0.663034676861 -0.656834141132
1 overshoot 0.281093202393 0.281741851455
1 diffusion 0.284565710071 0.285619149541
1 age 0.905783510066 0.905783685747
1 X_c 0.901460739964 0.901607207105
1 mass_cc 0.714139946593 0.715108670884
1 Y_surf 0.70254777277 0.702581581163
1 L 0.982776609155 0.98277680306
1 radius 0.94566885169 0.945669918843
1 M 0.884518174522 0.88452132832
1 Y -0.386453414049 -0.386190064682
1 Z 0.923120300923 0.923177896038
1 alpha -0.476584276437 -0.474416694784
1 overshoot 0.262752901622 0.263733267578
1 diffusion 0.0282765370469 0.0304569675758
1 age 0.915326274416 0.915415970038
1 X_c 0.897584368192 0.897585613122
1 mass_cc 0.660451045996 0.66072310683
1 Y_surf 0.757007785459 0.757106884896
1 L 0.979418359039 0.979424234171
1 radius 0.946795030579 0.946797037938
1 M 0.894047230074 0.894062490241
1 Y -0.365141314082 -0.365106570835
1 Z 0.921359796766 0.921362602928
1 alpha -0.450431948375 -0.450046761736
1 overshoot 0.237715213428 0.238313182345
1 diffusion 0.0855230435082 0.0887838322122
1 age 0.906201154267 0.90631813219
1 X_c 0.908939560899 0.9089635608
1 mass_cc 0.651915484527 0.652065844355
1 Y_surf 0.762753027334 0.763141356449
1 L 0.981327212258 0.981340252874
1 radius 0.965141069979 0.965141321077
1 M 0.89576162426 0.895763214118
1 Y -0.311639416008 -0.31117666821
1 Z 0.922060273804 0.922159344653
1 alpha -0.621289387371 -0.616272546215
1 overshoot 0.175888821813 0.176565739341
1 diffusion 0.308652263071 0.308652276907
1 age 0.91914657332 0.91939197659
1 X_c 0.906845332371 0.906887897544
1 mass_cc 0.647821401128 0.648713855364
1 Y_surf 0.720510536867 0.720510540371
1 L 0.983943546477 0.983944018031
1 radius 0.96335275388 0.963375591056
1 M 0.885542386034 0.885596295434
1 Y -0.361848773846 -0.360387475188
1 Z 0.923267513523 0.923268561456
1 alpha -0.592473286042 -0.591839505934
1 overshoot -0.0700210841383 -0.0673798050224
1 diffusion 0.150063488916 0.151851058482
1 age 0.887815403555 0.887822288553
1 X_c 0.896632801087 0.896635246065
1 mass_cc 0.677992262023 0.677992340575
1 Y_surf 0.725875620176 0.726307805171
1 L 0.980102434668 0.980111400506
1 radius 0.933200778138 0.933314688275
1 M 0.887737626153 0.887885907814
1 Y -0.296383090833 -0.295822012752
1 Z 0.917312298918 0.917490414556
1 alpha -0.640696212424 -0.638433294816
1 overshoot 0.110027548916 0.112269479968
1 diffusion -0.0724671338461 -0.0643725221044
1 age 0.904977118361 0.905343849739
1 X_c 0.913475709077 0.913596201925
1 mass_cc 0.684923847198 0.687278871845
1 Y_surf 0.727661456363 0.727710680917
1 L 0.981595208188 0.981598915969
1 radius 0.965485779194 0.965514417647
1 M 0.895174097357 0.895384900573
1 Y -0.409436165425 -0.407915548365
1 Z 0.921785930386 0.921815603105
1 alpha -0.509013056801 -0.505318914084
1 overshoot 0.192228027179 0.195474558978
1 diffusion 0.136853520446 0.138080554836
1 age 0.866808036435 0.867153688547
1 X_c 0.904425457203 0.904496698895
1 mass_cc 0.637793600137 0.640127802919
1 Y_surf 0.714013834647 0.714078498751
1 L 0.986947652171 0.986947815365
1 radius 0.970283033876 0.970300728189
1 M 0.884827974177 0.885002110631
1 Y -0.326967647284 -0.325023237884
1 Z 0.929268937519 0.929296902069
1 alpha -0.649749912207 -0.644498230911
1 overshoot -0.0451684992335 -0.0451460253772
1 diffusion 0.265338588508 0.265493643208
1 age 0.934685779626 0.934765893032
1 X_c 0.89399523432 0.894083545681
1 mass_cc 0.609822896331 0.609892876939
1 Y_surf 0.721411844413 0.72144544722
1 L 0.983332157207 0.983339542841
1 radius 0.959942001492 0.959943707611
1 M 0.891432342296 0.891485479995
1 Y -0.394759878332 -0.394678376123
1 Z 0.917742104565 0.917949931032
1 alpha -0.595375012629 -0.583245509432
1 overshoot 0.239342855171 0.243238609484
1 diffusion 0.109803316508 0.111113300289
1 age 0.882804650679 0.882995527004
1 X_c 0.897831153021 0.898020756033
1 mass_cc 0.607151565479 0.608287671883
1 Y_surf 0.787275813915 0.787292230373
1 L 0.982562440943 0.982566865696
1 radius 0.962774566705 0.962778481074
1 M 0.896406807935 0.897399574349
1 Y -0.56672071325 -0.547473282526
1 Z 0.918984946481 0.919034969954
1 alpha -0.527849138741 -0.517259203565
1 overshoot 0.046890595725 0.0488573221429
1 diffusion 0.348479753404 0.349300310853
1 age 0.910448916429 0.910527295762
1 X_c 0.898390038706 0.898398364244
1 mass_cc 0.625808195343 0.627682968535
1 Y_surf 0.720280523361 0.720697792613
1 L 0.982876758276 0.982913786888
1 radius 0.967313906724 0.967351076608
1 M 0.885028124259 0.885029522193
1 Y -0.368106061151 -0.36804519643
1 Z 0.921804023535 0.921889841216
1 alpha -0.736165840027 -0.731708818873
1 overshoot 0.155413848987 0.159109087021
1 diffusion 0.175339947493 0.176307994059
1 age 0.879684602167 0.880199629153
1 X_c 0.892289663047 0.892403956164
1 mass_cc 0.623811254528 0.625611219604
1 Y_surf 0.739550268718 0.739551988686
1 L 0.982547279247 0.982552955714
1 radius 0.961063794655 0.961063960491
1 M 0.887423664258 0.887498685366
1 Y -0.38012556296 -0.378452218495
1 Z 0.898336034772 0.898413685917
1 alpha -0.491564633915 -0.491387839843
1 overshoot 0.0444357501612 0.0445064662665
1 diffusion 0.28174325274 0.281827178649
1 age 0.87012144107 0.870147974944
1 X_c 0.894802017284 0.894858035842
1 mass_cc 0.642483693052 0.642997762663
1 Y_surf 0.695527680616 0.696292831299
1 L 0.982855631249 0.982857338275
1 radius 0.959667501037 0.959667507265
1 M 0.887276886475 0.887296030715
1 Y -0.412550622375 -0.412203139316
1 Z 0.939993295993 0.940002719422
1 alpha -0.541490238808 -0.523817668829
1 overshoot 0.0220326241309 0.0228821477033
1 diffusion 0.352518751903 0.353657142384
1 age 0.889229076471 0.88925681626
1 X_c 0.90093905287 0.900980361367
1 mass_cc 0.659118391164 0.660283202997
1 Y_surf 0.67979718247 0.680238447709
1 L 0.984288918442 0.984306373634
1 radius 0.959921484087 0.959921539339
1 M 0.886864326791 0.886916032864
1 Y -0.433722731775 -0.431039077529
1 Z 0.922867090241 0.922961252649
1 alpha -0.546499831049 -0.541229617911
1 overshoot 0.111080879165 0.111102151836
1 diffusion 0.302990754958 0.303126748047
1 age 0.888138635764 0.88814011652
1 X_c 0.898962516763 0.899104800075
1 mass_cc 0.628394989146 0.62869831992
1 Y_surf 0.691189638906 0.691191974309
1 L 0.983014407911 0.983022630787
1 radius 0.946390935751 0.946392051125
1 M 0.888742014502 0.888760353235
1 Y -0.420988181823 -0.420306965305
1 Z 0.926984396805 0.926984467048
1 alpha -0.614009608254 -0.603868373741
1 overshoot 0.0244830359116 0.0247987120373
1 diffusion 0.186767776625 0.189782475662
1 age 0.888904780187 0.889207812646
1 X_c 0.88853842313 0.888561920965
1 mass_cc 0.63708672635 0.637700021358
1 Y_surf 0.77606717431 0.776074715901
1 L 0.981886248266 0.98188813881
1 radius 0.962455633885 0.962463804547
1 M 0.895102762637 0.895175040128
1 Y -0.370229174878 -0.366322795568
1 Z 0.928133559908 0.928161850386
1 alpha -0.662863424346 -0.644716348073
1 overshoot -0.109962770384 -0.109957155275
1 diffusion 0.28303797314 0.283044190752
1 age 0.88693384715 0.8872652705
1 X_c 0.894160912583 0.89434759579
1 mass_cc 0.635311679142 0.636059387544
1 Y_surf 0.710054567048 0.711284409142
1 L 0.983332820712 0.983350032602
1 radius 0.968308933597 0.968376948688
1 M 0.893921642146 0.894180441832
1 Y -0.423916030844 -0.423036413998
1 Z 0.937831766518 0.937845180195
1 alpha -0.648838140722 -0.645887933381
1 overshoot -0.0204274820844 -0.0204185098794
1 diffusion 0.0590493805112 0.0603115912206
1 age 0.894349896356 0.894406360767
1 X_c 0.897750937769 0.897858862469
1 mass_cc 0.627967195952 0.627967799378
1 Y_surf 0.69427688208 0.695714338389
1 L 0.985826168182 0.9858407113
1 radius 0.957291664185 0.957460297413
2 M 0.922804308877 0.922804659697
2 Y -0.0487948402605 -0.0487716333135
2 Z 0.956677783044 0.956903951627
2 alpha -0.133000145185 -0.12444822426
2 overshoot 0.421081043315 0.423230544105
2 diffusion 0.0895775086177 0.0997141165264
2 age 0.927285299861 0.927781976873
2 X_c 0.935303537998 0.935327874446
2 mass_cc 0.757445149071 0.758922209598
2 Y_surf 0.819411411056 0.81975355515
2 L 0.990630742008 0.990660404608
2 radius 0.974717913355 0.974736829584
2 M 0.915071317703 0.915113109658
2 Y -0.0522326981665 -0.0502612596479
2 Z 0.949696539555 0.950129203254
2 alpha -0.161963971678 -0.160305810257
2 overshoot 0.399046636177 0.403409571341
2 diffusion 0.42286847905 0.423029125702
2 age 0.919176566168 0.919414048398
2 X_c 0.927224359601 0.927732030978
2 mass_cc 0.725414891654 0.727285128332
2 Y_surf 0.828981428234 0.828983142262
2 L 0.987065209281 0.987108700686
2 radius 0.965124894531 0.96512635302
2 M 0.916627732113 0.9166391625
2 Y -0.0352807218111 -0.0351337544238
2 Z 0.950366885216 0.950372349965
2 alpha -0.170428784837 -0.168010399351
2 overshoot 0.415496398666 0.415857070829
2 diffusion 0.432849523247 0.433397148518
2 age 0.917364621894 0.917591510627
2 X_c 0.93391005364 0.934009762427
2 mass_cc 0.7527761965 0.752788458603
2 Y_surf 0.83285990758 0.832953517655
2 L 0.990607055474 0.990614190333
2 radius 0.972693331837 0.972700954186
2 M 0.919236283298 0.919236613939
2 Y -0.0109243663658 -0.00791013190595
2 Z 0.950847785357 0.951246321671
2 alpha -0.203881894664 -0.202715993731
2 overshoot 0.438170965389 0.438257460156
2 diffusion 0.413159928557 0.413553994901
2 age 0.919269928518 0.919727304015
2 X_c 0.935964289976 0.935964768671
2 mass_cc 0.770921773351 0.771175706991
2 Y_surf 0.783655185361 0.784346753745
2 L 0.991937988781 0.991953529265
2 radius 0.976917702252 0.976920838736
2 M 0.928181558615 0.928544911979
2 Y 0.0669320283827 0.0722315832365
2 Z 0.951037276285 0.951137619972
2 alpha -0.111254374793 -0.110643813621
2 overshoot 0.405871724285 0.406097273409
2 diffusion 0.373527602303 0.374464759949
2 age 0.942132843687 0.942146181468
2 X_c 0.941723395769 0.941792770903
2 mass_cc 0.777859058187 0.778070181142
2 Y_surf 0.82432215627 0.824413946048
