l n nu dnu
0 16 1841.3 0.6
0 17 1942.4 0.6
0 18 2046.4 0.6
0 19 2153.0 0.4
0 20 2258.7 0.4
0 21 2364.4 0.5
0 22 2469.9 0.5
0 23 2575.2 0.6
0 24 2682.1 0.5
0 26 2895.4 0.5
1 15 1779.9 0.6
1 16 1887.3 0.5
1 17 1991.7 0.6
1 18 2095.7 0.5
1 19 2203.1 0.5
1 20 2309.4 0.4
1 21 2412.1 0.5
1 22 2519.4 0.5
1 23 2625.7 0.4
1 24 2730.9 0.6
1 25 2837.0 0.6
1 26 2947.6 0.6
1 27 3055.2 0.6
1 28 3159.6 0.6
2 15 1831.6 0.6
2 16 1934.9 0.5
2 17 2040.8 0.5
2 18 2146.0 0.5
2 19 2250.1 0.5
2 20 2358.3 0.4
2 21 2464.0 0.5
2 22 2570.8 0.5
2 23 2677.7 0.5
2 24 2783.3 0.5
2 25 2891.7 0.6
2 26 2998.5 0.6
3 16 1981.4 0.7
3 17 2082.1 0.5
3 18 2191.9 0.5
3 19 2297.7 0.5
3 20 2400.7 0.7
3 21 2508.4 0.5
3 22 2615.7 0.5
3 23 2722.7 0.6
