n l nu dnu
5 0 387.7 1.85
5 1 361.9 1.90
5 2 385.1 2.25
6 1 412.5 2.00
6 2 439.3 2.60
7 0 498.7 1.35
7 1 467.6 1.35
7 2 493.2 2.30
8 0 552.2 1.50
8 1 520.7 1.25
8 2 549.3 2.10
9 0 607.8 0.95
9 1 576.2 1.25
9 2 605.4 2.25
10 0 661.3 1.40
10 1 631.1 0.75
10 2 657.1 1.65
11 0 716.8 1.50
11 1 684.7 1.20
11 2 712.6 1.20
12 0 769.9 1.25
12 1 739.1 1.15
12 2 766.6 1.40
13 0 822.7 2.30
13 1 792.9 1.30
13 2 817.8 1.35
14 0 874.5 1.30
14 1 846.4 0.85
14 2 869.9 1.45
15 0 928.8 1.20
15 1 900.0 1.35
15 2 925.9 1.20
16 0 985.1 1.05
16 1 958.2 0.80
16 2 980.9 1.75
17 0 1043.4 2.80
17 1 1015.7 0.95
17 2 1035.2 0.90
18 0 1097.6 1.20
18 1 1072.5 1.15
18 2 1091.8 3.95
19 0 1153.7 0.85
19 1 1126.9 0.55
19 2 1146.8 1.15
20 0 1209.1 0.85
20 1 1181.8 0.95
20 2 1204.8 1.35
21 0 1269.2 1.05
21 1 1237.1 0.90
21 2 1264.8 1.50
