n l nu dnu
5 0 363.6 0.85
5 1 387.5 0.60
5 2 358.5 1.25
6 0 415.3 2.15
6 2 408.1 2.35
7 0 469.7 1.85
7 1 498.8 0.75
7 2 465.3 1.20
8 0 522.3 1.40
8 1 551.6 0.75
8 2 519.0 1.55
9 0 577.0 2.05
9 1 607.6 0.65
9 2 573.9 2.50
10 0 631.3 0.80
10 1 660.3 1.15
10 2 627.4 2.45
11 0 685.6 1.40
11 1 714.7 1.30
11 2 681.2 2.10
12 0 740.1 1.65
12 1 768.6 0.95
12 2 737.0 1.60
13 0 793.2 1.50
13 1 820.0 1.45
13 2 790.9 1.95
14 0 847.3 1.30
14 1 872.7 1.00
14 2 844.7 1.60
15 0 901.0 1.75
15 1 927.5 0.80
15 2 898.6 2.10
16 0 958.7 1.25
16 1 983.9 1.15
16 2 957.2 1.15
17 0 1015.9 1.65
17 1 1039.5 1.65
17 2 1014.0 2.10
18 0 1073.2 1.85
18 1 1096.6 1.05
18 2 1070.3 2.25
19 0 1127.2 1.15
19 1 1151.8 1.40
19 2 1125.9 1.35
20 0 1182.3 1.45
20 1 1207.9 1.25
20 2 1180.5 1.60
21 0 1236.9 1.65
21 1 1267.4 1.60
21 2 1235.5 1.85
