name value uncertainty
Period 3.71768 0.001
I_Amplitude 0.415 0.000325269119345812
I_Skewness 3.31812 0.001
I_acuteness 1.19558 0.001
I_R21 0.42992 0.00222
I_R31 0.21812 0.00206
I_A1 0.16313 0.00033
I_A2 0.07013 0.00033
I_A3 0.03558 0.00033
V_Amplitude 0.696 0.00755190042307233
V_Skewness 3.24394 0.001
V_acuteness 1.78505 0.001
V_R21 0.43077 0.02919
V_R31 0.2112 0.02847
V_A1 0.27738 0.00794
V_A2 0.11949 0.00734
V_A3 0.05858 0.00772
