n l nu dnu
13 1 1783.818 0.17
14 0 1847.3 0.146
14 1 1903.638 0.132
15 0 1967.92 0.153
15 1 2023.891 0.229
16 0 2087.844 0.151
16 1 2143.139 0.156
16 2 2194.893 0.254
17 0 2206.693 0.125
17 1 2261.106 0.122
17 2 2312.257 0.319
18 0 2324.451 0.112
18 1 2379.771 0.095
18 2 2432.319 0.177
19 0 2443.116 0.096
19 1 2499.391 0.088
19 2 2552.284 0.127
20 0 2563.596 0.077
20 1 2619.986 0.093
20 2 2673.041 0.136
21 0 2683.962 0.088
21 1 2740.463 0.088
21 2 2793.454 0.154
22 0 2804.494 0.087
22 1 2861.027 0.097
22 2 2914.003 0.163
23 0 2924.482 0.092
23 1 2981.305 0.115
23 2 3034.304 0.255
24 0 3044.85 0.131
24 1 3101.964 0.156
24 2 3155.025 0.374
25 0 3165.538 0.231
25 1 3223.184 0.222
25 2 3276.516 0.534
26 0 3286.792 0.306
26 1 3344.681 0.286
26 2 3398.083 0.606
27 0 3409.213 0.433
27 1 3466.068 0.419
27 2 3518.696 1.07
28 0 3531.246 0.771
28 1 3587.791 0.806
28 2 3641.608 1.807
29 0 3650.139 1.017
29 1 3710.036 0.895
29 2 3771.032 6.116
30 0 3768.319 3.019
30 1 3837.495 1.665
