M Y Z alpha diffusion overshoot age Y_surf X_c mass_cc
1.093966510742192533e+00 2.622095317382835966e-01 2.307526074218764489e-02 1.894165380371116481e+00 1.046705002929672945e+00 1.621923447265635754e-01 6.548854253818385374e+00 2.263433896406514823e-01 6.312189087402571286e-02 1.100962205156998108e-02
1.080010323730473454e+00 2.696565917968757886e-01 2.292134570312505393e-02 1.959421325195332519e+00 1.011671195800775136e+00 1.614092270507825333e-01 6.160336520481093814e+00 2.338297135335455079e-01 9.229400508200925890e-02 1.270106599177804434e-02
1.074084061035156745e+00 2.652989067382834909e-01 2.208280957031267047e-02 1.974420215820330338e+00 1.095095680664048610e+00 1.832343212890637507e-01 6.960677504514075409e+00 2.287450108213813504e-01 5.988323263187699669e-02 1.423025864991538103e-02
1.069210655273437505e+00 2.764104218750020325e-01 2.384589208984364342e-02 1.999561030761721092e+00 8.786304497070243080e-01 2.225919638671904344e-01 6.636066476132620018e+00 2.414651374720303278e-01 1.460065158883362690e-01 3.334106783198756419e-02
1.080295833007812956e+00 2.711845083007831669e-01 2.329082470703128585e-02 1.962183806152349996e+00 1.005730149902332782e+00 1.833767988281266859e-01 6.733838214292688029e+00 2.351020581420757150e-01 1.237349194162007671e-01 3.222960219439643947e-02
1.057362118164065778e+00 2.659340957031280928e-01 2.218091113281267165e-02 1.984751886230476714e+00 1.030294378417953460e+00 2.205935502929706193e-01 7.283004980186413846e+00 2.299556219071027530e-01 5.420748818369691691e-02 9.631875201154306565e-03
1.060899467285162601e+00 2.743401992187520788e-01 2.222884716796876339e-02 1.911430776855478131e+00 1.003062634765615302e+00 1.874308857421887187e-01 6.665238515332585045e+00 2.368884561945777956e-01 1.102495266879321145e-01 2.330655528229101311e-02
1.069335366699227796e+00 2.644700839843779350e-01 2.144764990234382732e-02 1.891144744140636602e+00 1.049476939453110047e+00 1.754083427734386413e-01 6.773343848911903997e+00 2.269928792376502968e-01 6.849553618677427236e-02 1.154315548030307274e-02
1.086394205078126118e+00 2.742702060546898246e-01 2.284347851562504306e-02 1.853021537597664858e+00 9.512924223632784893e-01 1.606557177734392605e-01 6.164065674864739108e+00 2.359896387185704825e-01 1.329922890259872537e-01 3.135379444385485992e-02
1.094097245117193529e+00 2.651432851562522397e-01 2.374738623046883379e-02 1.870363868652353601e+00 1.010050705566392759e+00 1.790545791015638322e-01 6.684417585304870180e+00 2.292276763324098132e-01 9.861657799183586037e-02 2.354264554521946773e-02
1.059182217773448009e+00 2.726992993164089607e-01 2.356583349609383746e-02 1.840247793457042036e+00 9.497536997070213927e-01 1.920995390625013233e-01 6.827556371675770563e+00 2.356680006565401719e-01 9.068135205384528219e-02 1.444341189332917774e-02
1.071443295898441894e+00 2.672699335937523957e-01 2.242849658203144303e-02 1.942032748046897073e+00 1.039272879882801037e+00 1.901774267578139888e-01 6.971950458997456579e+00 2.307017577857152502e-01 4.843397674475568432e-02 1.011638133402981837e-02
1.087464423339847608e+00 2.607839902343781491e-01 2.219326171875013118e-02 1.950768394531273042e+00 1.095160107910140734e+00 1.735424326171889076e-01 6.504788245106693623e+00 2.258208575268660090e-01 7.566681500174898822e-02 1.075844745849573701e-02
1.100473941406249656e+00 2.637933564453127100e-01 2.231372900390647673e-02 1.999799809082047686e+00 1.159612780273428179e+00 1.346474536132822031e-01 6.352457823360838418e+00 2.281769470261729160e-01 9.381596060581967600e-02 2.265127839675765836e-02
1.081179427246094837e+00 2.711898559570326550e-01 2.375764648437513060e-02 1.907039937500011550e+00 1.017635005859361730e+00 1.663380278320323036e-01 6.872996441984604132e+00 2.344432040924497584e-01 9.279324300333931241e-02 2.513768036575347517e-02
1.071359373046871788e+00 2.839133779296899585e-01 2.305752246093749347e-02 1.924714235839846355e+00 8.905867094726469535e-01 2.113047983398465834e-01 6.097211643020866489e+00 2.468242726541910459e-01 1.785329100883126519e-01 4.325907147101549360e-02
1.083808012207038818e+00 2.694696118164083276e-01 2.195082421875006393e-02 1.891527924804695004e+00 9.872995947265484906e-01 1.462753017578134751e-01 6.056013616571664038e+00 2.319739802710540366e-01 1.163120513816937041e-01 2.100294909958182882e-02
1.083987999023441340e+00 2.658428461914082441e-01 2.361136523437522630e-02 1.919502770507831357e+00 1.010384863769516306e+00 1.839038818359387539e-01 6.660314946109637368e+00 2.303452687414000166e-01 7.363753340741302500e-02 1.273609038038891854e-02
1.078326945800775594e+00 2.744085595703145697e-01 2.399625488281253993e-02 1.986538876953132249e+00 9.153216259765544205e-01 2.020931093750023833e-01 6.660048390314848632e+00 2.394577838226251976e-01 1.230823323775910999e-01 3.043533658573936360e-02
1.060586946289071131e+00 2.787139667968749901e-01 2.107916894531259439e-02 1.863731620117195620e+00 9.201410019531194306e-01 1.541903940429698028e-01 6.435616228523557858e+00 2.382750428833695089e-01 9.812350787884174808e-02 2.653779968674671239e-02
1.068146966796875486e+00 2.768170449218764761e-01 2.301665039062509438e-02 1.914097176269537570e+00 9.579444130859327000e-01 1.687219687500015053e-01 6.414265502760046367e+00 2.389276889439222451e-01 1.245517714901434730e-01 2.734022183730458466e-02
1.056589692871095609e+00 2.831201074218763214e-01 2.110775195312510760e-02 1.855519437500002589e+00 8.869627504882752200e-01 1.877280756835954523e-01 6.224502823526175455e+00 2.420561107804714840e-01 1.558068957364822926e-01 4.041950702663803935e-02
1.067889561035160639e+00 2.697131870117195906e-01 2.167736914062517312e-02 1.953348626464865179e+00 1.074300265624990258e+00 1.795248652343760520e-01 6.784015230286926545e+00 2.322930408270998670e-01 5.141770564098523122e-02 1.193523753273646217e-02
1.079604753906254100e+00 2.668144697265643073e-01 2.296118261718759629e-02 1.914758377441413861e+00 1.001889162109356857e+00 1.955622187500021258e-01 6.714959254516853271e+00 2.306856541702514973e-01 9.175667286308580861e-02 1.918148350024062587e-02
1.079458980957027636e+00 2.805104638671895301e-01 2.437653173828126588e-02 1.911870820312494557e+00 8.789810063476485302e-01 2.218215795898472176e-01 6.444255222016025186e+00 2.445889318274066249e-01 1.572137210332336943e-01 4.052173247089205232e-02
1.084229177246100129e+00 2.679466152343770724e-01 2.341640429687507838e-02 1.879750729492200234e+00 9.891617768554584744e-01 1.734702348632825575e-01 6.629695977571774534e+00 2.313517164782946112e-01 8.636918139624315260e-02 1.784625119393785583e-02
1.035327226562509972e+00 2.729953320312510368e-01 2.071946826171879377e-02 2.001347150878916015e+00 1.041676743652342196e+00 2.094640131835964758e-01 7.212213717121132461e+00 2.338732115525928856e-01 4.370726493405498181e-02 7.701909614621772586e-03
