M Y Z alpha diffusion overshoot age Y_surf X_c mass_cc
1.002530733886736192e+00 2.854015058593781795e-01 2.163132617187494763e-02 1.811853354003917227e+00 1.063989994628884217e+00 2.173556840820294322e-01 6.800048760198927233e+00 2.480930847699308051e-01 1.232750134239477408e-01 6.925004439451843199e-03
9.986777426757971199e-01 2.802976015625021078e-01 1.989560156250001072e-02 1.904127953125021033e+00 1.180903046874983042e+00 2.268142114257801489e-01 6.723066811443070279e+00 2.436291735743059406e-01 1.179328007720913951e-01 2.888103062066297785e-03
1.026066918457041899e+00 2.808359682617221909e-01 2.259722460937501134e-02 1.818234982421874646e+00 9.550123593749841877e-01 2.348893510742180168e-01 6.510897609723170554e+00 2.448999165808179723e-01 1.644771490282474768e-01 1.582888314277518943e-02
1.026605267578137415e+00 2.822731074218781666e-01 2.221114306640630670e-02 1.856507110351570455e+00 9.963366040038922344e-01 2.167672597656251920e-01 6.473552512000917858e+00 2.453417091178301535e-01 1.411502578048533518e-01 1.574527768652585202e-02
9.908608129882966464e-01 2.808834106445335377e-01 1.924685693359364652e-02 1.857583542480485184e+00 1.119614824218730709e+00 2.266376904296864836e-01 7.047817687122265973e+00 2.407307165575169328e-01 1.234893864293045568e-01 1.084858642344338833e-02
1.014050315429705806e+00 2.804820654296908411e-01 2.119136572265619897e-02 1.819066301757829018e+00 1.111400369628886775e+00 1.983185117187489521e-01 6.520978271204082688e+00 2.435806871722780431e-01 1.368564780184959584e-01 6.712045001322266766e-03
1.018173694335953616e+00 2.853301254882843474e-01 2.260295703124996433e-02 1.860654160644539257e+00 1.042836791503886085e+00 2.070271840820302744e-01 6.314436225405656522e+00 2.491478021290814415e-01 1.584669617380010664e-01 1.119471022705921526e-02
1.015018260742201583e+00 2.832150419921898865e-01 2.091487011718753258e-02 1.916787084960958953e+00 1.100883936523417983e+00 2.214332915039057548e-01 6.357290791534689234e+00 2.471920369553855523e-01 1.327174506988797187e-01 8.204684317318595294e-03
1.000773867675797790e+00 2.841782783203155027e-01 2.147579638671881161e-02 1.820130330566413379e+00 1.041107380371073754e+00 2.240631020507793114e-01 6.827887942003433963e+00 2.469622530237181868e-01 1.101908506849301611e-01 3.449104121582420492e-03
1.017805022460956943e+00 2.770925849609409686e-01 2.098524609374992703e-02 1.758607677734377983e+00 9.858594160156147757e-01 1.640303657226559186e-01 6.701299224195134130e+00 2.365838754437390723e-01 1.216022340550697856e-01 8.190477235235383083e-03
1.006293450683603430e+00 2.740372504882824800e-01 2.139613964843741292e-02 1.879369607910155171e+00 9.288620844726381831e-01 2.530916464843744329e-01 7.261174164883692939e+00 2.381694883891403713e-01 1.478027525244288154e-01 1.186788548731816141e-02
1.015205507812519281e+00 2.842099077148476649e-01 2.262327294921869306e-02 1.769890915039066037e+00 9.944647690429553322e-01 1.894038920898427070e-01 6.690716782774085658e+00 2.458871220848972416e-01 1.320091247117805566e-01 1.062581860291255537e-02
9.898021523437658953e-01 2.796254448242218582e-01 1.890844091796869270e-02 1.887020162597664807e+00 1.046182753906235829e+00 2.153418906249993381e-01 6.994344076079652694e+00 2.390580733097147081e-01 1.069973439045277253e-01 6.703221735537771842e-03
1.006308677246107175e+00 2.867942739257839380e-01 2.065031494140620247e-02 1.877423837890639380e+00 1.067315215332016898e+00 2.097249492187501507e-01 6.459418374829986931e+00 2.471985084105236541e-01 1.513107770485445647e-01 1.761082382944121477e-02
