M Y Z alpha diffusion overshoot age Y_surf X_c mass_cc
1.029320636230483421e+00 2.766423300781281625e-01 2.168140722656257749e-02 1.844557186523452019e+00 1.031478415039042584e+00 2.283686660156252490e-01 6.697028089438505027e+00 2.403401676348834726e-01 1.045161237959051914e-01 6.700177770755875659e-03
1.032342692382830940e+00 2.774172792968790380e-01 2.257975000000003729e-02 1.773772565429694303e+00 9.823622988281071056e-01 2.023320327148432352e-01 6.364014848965857674e+00 2.418341460338345461e-01 1.301886848262656937e-01 3.468251764070942687e-03
1.012357310546889044e+00 2.715962680664085749e-01 2.043209570312505205e-02 1.931507835937508410e+00 1.062939443847639165e+00 2.601243530273438798e-01 7.272363088800021025e+00 2.355493786793909361e-01 1.069056656387225995e-01 7.177991103842188206e-03
1.004169400878927254e+00 2.838459775390669293e-01 2.130115087890616446e-02 1.753955047363288999e+00 1.034603006835923322e+00 1.808370581054676851e-01 6.755127105061138337e+00 2.446761750668396962e-01 1.157722386990619190e-01 5.033803395663213019e-03
9.920517895507987571e-01 2.899666635742222942e-01 2.151968261718746958e-02 1.847306328613293136e+00 1.062793818359353937e+00 2.228945507812480353e-01 6.966122020916981405e+00 2.516653071135777631e-01 1.101264454921568881e-01 8.749216396501734855e-03
1.014258924316421950e+00 2.857128554687530797e-01 2.337046093749993447e-02 1.817726394042963323e+00 1.010343145507798024e+00 2.281073969726544470e-01 6.634245690181193034e+00 2.487500408459455414e-01 1.735945588680063156e-01 1.798629404998277129e-02
1.007628991699234700e+00 2.774306318359412438e-01 2.221469140625011510e-02 1.880248905273444571e+00 1.039309032226545249e+00 2.413026728515616504e-01 6.597013320465806352e+00 2.438996932026582520e-01 1.642097978275047776e-01 2.152118688171618388e-03
1.000080295898452487e+00 2.826330351562515997e-01 2.185980810546864911e-02 1.869950276855474991e+00 1.031597417480445644e+00 2.437077431640608804e-01 7.092670443550892934e+00 2.461028359095684404e-01 1.354814100352425832e-01 1.083005365831349667e-02
1.016011524414074607e+00 2.737294335937516254e-01 2.108570507812499925e-02 1.834005584472665262e+00 1.013204374023419563e+00 2.476830190429682721e-01 7.159968955268998236e+00 2.368086273872233027e-01 1.253762507007967764e-01 1.083805878857858375e-02
1.021257155273453954e+00 2.838741601562537187e-01 2.266841894531251844e-02 1.826244151367193647e+00 9.993578442382644589e-01 2.111020068359369672e-01 6.461050255606952675e+00 2.475289301618062154e-01 1.443057488217450446e-01 1.105601263821925570e-02
1.015506189941422388e+00 2.842478183593773466e-01 2.270836376953121183e-02 1.960120631347668452e+00 1.120211991699200826e+00 2.271500346679689586e-01 6.453017673345446070e+00 2.492907298919223025e-01 1.583071410594459050e-01 1.204129085044739790e-02
1.003545362792983564e+00 2.758453969726580302e-01 2.003151171875005090e-02 1.962144905761738389e+00 1.162622666992170872e+00 2.386327250976558734e-01 6.694858357833091134e+00 2.411816881986239558e-01 1.336016751122685309e-01 2.860074042577034990e-03
1.012104825683609821e+00 2.832930468750032849e-01 2.302416650390625916e-02 1.755024477050781906e+00 9.696226494140446350e-01 2.288750507812480905e-01 7.035098009096850014e+00 2.457522898496731500e-01 1.215328450712777758e-01 9.413491666960895760e-03
1.004238978515642478e+00 2.810300952148468423e-01 2.170115478515627708e-02 1.872600739746100862e+00 1.044462091796856118e+00 2.270400957031240008e-01 6.785192377567351940e+00 2.452692958021399638e-01 1.336462100443376044e-01 4.719518979255480327e-03
9.999303085937644164e-01 2.828515263671901869e-01 2.100217382812497730e-02 1.928655860351569995e+00 1.020852816894514348e+00 2.214808144531242862e-01 6.698677280836078829e+00 2.459623395764996556e-01 1.460048854508260163e-01 1.001915943405346301e-02
1.008389650878923405e+00 2.808546899414079423e-01 2.039963574218760581e-02 1.916610743652371829e+00 1.231809922363268139e+00 2.489984975585927685e-01 6.408351328853774120e+00 2.461126021686768361e-01 1.363704120336773351e-01 3.825014636317645988e-03
1.001427277832047213e+00 2.830062578125022155e-01 2.059500146484374503e-02 1.873415262695331540e+00 1.133332927734354234e+00 2.368311723632803290e-01 6.921075701952519310e+00 2.456696526787787993e-01 1.055457957278935766e-01 6.902304027097952953e-03
1.023816820312512199e+00 2.794450292968772565e-01 2.023267626953123913e-02 1.874614732910170334e+00 1.026815696289046898e+00 1.967349360351572651e-01 6.406114240869291265e+00 2.399124713873486969e-01 1.243131140400525331e-01 1.246883345792597006e-02
1.028752862304701088e+00 2.790163173828145160e-01 2.163227490234386624e-02 1.884337302246113843e+00 1.058359739746076000e+00 2.289322993164064901e-01 6.551779569913547263e+00 2.430842480051261800e-01 9.642026196185413123e-02 5.110274808256054686e-03
1.019050245117205433e+00 2.797588266601594431e-01 2.117332421875003576e-02 1.806526692382830257e+00 1.120787835449195136e+00 2.121481044921864345e-01 6.653231680122331682e+00 2.425850927036883597e-01 9.596956662861046150e-02 3.218931756936048959e-03
1.022852784667983128e+00 2.764850292968775158e-01 2.137985644531250479e-02 1.830130424316422033e+00 1.095722813476543767e+00 2.061528974609373732e-01 6.471692870870688452e+00 2.409404203633929431e-01 1.234635602686343786e-01 2.287076023985690036e-03
1.001894440429705213e+00 2.837627924804716484e-01 2.177895166015622955e-02 1.832138688476567800e+00 1.072312249999982203e+00 2.264400195312481767e-01 6.781951011458414946e+00 2.467948446298486309e-01 1.584695199823386025e-01 1.413836464421975095e-02
9.946454931640814623e-01 2.871223466796909429e-01 2.153932714843755092e-02 1.806708298828135995e+00 1.028313002929664988e+00 2.306122612304662423e-01 7.034185454682114980e+00 2.494714471696536651e-01 9.365371007882269949e-02 2.698683057004935826e-03
1.032415461425799208e+00 2.761939746093787229e-01 2.250837451171877265e-02 1.776199455566417340e+00 9.812126582031097666e-01 2.054988330078124925e-01 6.313463608795759185e+00 2.413100365458712149e-01 1.298600888629469208e-01 8.353241593787768052e-04
1.007504177734392714e+00 2.851378916015659959e-01 2.188151269531253204e-02 1.790487651367196786e+00 9.975790800781045853e-01 2.171831162109358893e-01 6.793052471281825433e+00 2.475153132705036896e-01 1.044787308823762473e-01 4.713952942208615368e-03
9.978752094726721644e-01 2.824622421875019329e-01 2.037028955078125717e-02 1.845994791992215056e+00 1.244980505859354158e+00 2.427594584960919566e-01 6.681900169759323660e+00 2.466597011775292780e-01 1.249608935653653552e-01 2.204387844252546705e-03
9.971535839843940208e-01 2.859624907226597235e-01 2.107113525390620634e-02 1.808100805175802739e+00 1.190263810546850820e+00 2.262553237304664733e-01 6.862857450773532264e+00 2.485473948089075014e-01 1.058646678329851903e-01 3.596913079705675847e-03
1.009919677734384402e+00 2.868708745117219405e-01 2.208886962890623321e-02 1.893694602539065519e+00 9.894283027343605541e-01 2.459785727539057776e-01 6.600011795431971251e+00 2.503829653272445221e-01 1.711486801026990967e-01 2.095829850286097182e-02
1.010346906738297523e+00 2.823169760742203493e-01 2.168354492187494348e-02 1.918238112792982175e+00 1.102301984863260920e+00 2.422233452148430388e-01 6.656422410244180021e+00 2.468527228505920379e-01 1.559524960114276881e-01 1.318040289895114001e-02
9.852729477539233782e-01 2.916146376953154817e-01 2.156536230468744306e-02 1.812068152343758287e+00 1.093593475585913577e+00 2.458003261718715859e-01 7.100272464650909221e+00 2.532609952852298285e-01 1.322468293533979322e-01 1.429547716705508939e-02
9.996079365234502578e-01 2.850413989257833403e-01 2.171315332031240400e-02 1.904337566406255400e+00 1.009165682128886798e+00 2.402558129882806648e-01 6.922675000810192714e+00 2.480281973433074438e-01 1.482443173147791060e-01 1.549045386435676276e-02
1.004309231933608215e+00 2.766341191406275768e-01 2.066734277343754839e-02 1.896141103515643467e+00 1.127474054199201214e+00 2.437034448242178797e-01 6.747118095875690003e+00 2.420555008299774269e-01 1.356328085489811319e-01 1.707595449512095851e-03
1.004856167480480345e+00 2.751399418945333908e-01 2.118920654296878661e-02 1.864825517578127867e+00 9.852444208984154628e-01 2.421042553710931189e-01 7.248568983687838418e+00 2.388364298416539300e-01 1.113717787964142586e-01 4.395548461052964026e-03
1.006251799804700253e+00 2.794212436523459964e-01 1.988814160156247846e-02 1.947282092773452433e+00 1.116540687011702504e+00 2.122659233398440093e-01 6.319370863859809617e+00 2.427510575529046033e-01 1.376700988024924799e-01 4.149328693618900901e-03
1.002033855957049635e+00 2.834718920898462446e-01 2.110806689453123552e-02 1.848481213378924126e+00 1.156959734863257871e+00 2.245618242187485958e-01 6.829776273241223272e+00 2.465909684988306094e-01 1.134459841404387159e-01 4.813205013480616017e-03
9.994357871093835222e-01 2.744151450195327357e-01 1.993715380859369113e-02 1.923627949218752908e+00 9.454327231445122104e-01 2.414627006835934342e-01 7.105824817296261031e+00 2.376459612434500268e-01 1.438693558440932996e-01 1.076684131017907435e-02
1.053108624023451956e+00 2.727913671875024648e-01 2.207401220703132314e-02 1.852088356445326323e+00 9.579082397460825238e-01 1.906293588867203626e-01 6.025759327563537049e+00 2.373906482850738353e-01 1.278199762219176527e-01 5.495784002189853419e-03
9.874306225586086949e-01 2.885823706054705395e-01 2.131371826171865949e-02 1.891480497070319844e+00 1.072841790527321537e+00 2.443988696289042528e-01 7.241652395574662116e+00 2.500839278362594342e-01 1.252981596554998966e-01 1.526211865579987781e-02
1.015133383789077914e+00 2.848719702148468369e-01 2.211044433593753120e-02 1.857335168945328352e+00 1.076614498046855717e+00 2.249830610351554461e-01 6.494742880323530976e+00 2.487631495871931719e-01 1.417109688545631907e-01 1.065529731673482694e-02
1.010392330566423302e+00 2.833236333007834729e-01 2.107647753906252350e-02 1.828366587402360466e+00 1.162326410644509034e+00 2.282750527343734293e-01 6.595873760509833872e+00 2.461813814113280319e-01 1.395058227210810298e-01 1.116261929684022117e-02
1.018165324218762935e+00 2.793349433593771969e-01 2.325269238281249540e-02 1.892123753906246764e+00 9.668608188476410792e-01 2.263091127929685309e-01 6.657096928182991924e+00 2.445854815423833262e-01 1.585772476979993573e-01 9.269771613483053854e-03
1.014185854980484969e+00 2.795439536132846015e-01 2.225710009765621833e-02 1.761798055664061780e+00 1.015693448730456083e+00 1.855441157226555282e-01 6.793960658000286479e+00 2.407990157900062600e-01 1.410743549675286812e-01 1.076637575789869336e-02
1.004334864746108336e+00 2.779547050781276396e-01 2.007716894531251864e-02 1.866378651855476134e+00 1.096680158203108935e+00 2.190296489257812507e-01 6.947581396510199347e+00 2.393234589090172393e-01 8.787828913191512992e-02 2.822834799909635685e-03
1.015172721191424543e+00 2.809274409179725596e-01 2.143703613281248976e-02 1.797327938964856653e+00 1.072502497558574852e+00 1.890348925781244471e-01 6.567311717056974807e+00 2.434237965798211056e-01 1.250600982090274704e-01 5.687177265402796819e-03
1.010323688964853694e+00 2.758862504882831357e-01 2.200602978515617605e-02 1.854375291503905343e+00 9.441197646484202899e-01 2.406853173828118475e-01 7.173583213382093149e+00 2.393032158122603559e-01 1.361493544741679829e-01 1.033320410489902905e-02
1.003829679199236269e+00 2.821268730468770025e-01 2.075350341796875636e-02 1.881747540039085953e+00 1.219937992675763638e+00 2.351827597656235835e-01 6.754202986872950731e+00 2.457964474832252666e-01 1.074618142814090516e-01 3.179813801725223620e-03
9.847005800781433171e-01 2.887715097656280427e-01 2.118442724609374828e-02 1.799757292968760636e+00 1.078872288574198368e+00 2.224562490234351930e-01 7.205638120422266368e+00 2.493124841784269963e-01 9.477346418074780732e-02 4.978803735978848573e-03
1.006357050292983724e+00 2.851665190429713559e-01 2.228966650390618379e-02 1.864683072265629349e+00 9.924015019531043924e-01 2.396658789062489636e-01 6.969351499526980298e+00 2.482722685405971130e-01 1.298133827353435410e-01 1.273795270546891449e-02
1.026771664062513745e+00 2.792631284179720175e-01 2.343104931640625430e-02 1.793421467773431477e+00 1.012568192871078576e+00 2.368173481445300654e-01 6.598969315257942725e+00 2.435202962892812073e-01 1.879264689601782001e-01 1.816150892177571113e-02
9.981941518554855453e-01 2.843795795898466094e-01 2.147394189453119898e-02 1.823512510742202553e+00 1.120446543945287532e+00 2.337838950195294807e-01 7.022260225686006052e+00 2.472241254545912703e-01 1.126133183852293523e-01 6.264107756784311094e-03
1.018879840820327676e+00 2.875916889648468810e-01 2.239821240234377703e-02 1.817907366699226035e+00 1.051473742187483573e+00 2.131875488281244069e-01 6.414284576939039972e+00 2.495299209122268658e-01 1.606470818845662785e-01 1.891134658889799536e-02
9.750798823242314839e-01 2.911028403320337077e-01 2.200607617187486098e-02 1.920897879394533936e+00 9.664492158202924177e-01 2.448855356445286680e-01 7.117111711209298974e+00 2.547525382698235252e-01 1.372450169318182311e-01 6.624904345580977932e-03
9.978581386718866630e-01 2.803816875000013642e-01 1.799654052734371568e-02 1.954929308593764459e+00 1.030346312988269286e+00 1.909912319335950182e-01 6.155510266282450793e+00 2.379932235421212128e-01 1.425855855543716744e-01 7.527104768425056831e-03
1.009016253417983178e+00 2.768520532226586006e-01 2.201244384765620524e-02 1.882223292480474930e+00 1.024251865234356407e+00 2.429368544921869932e-01 6.889301608224892348e+00 2.421721282997202351e-01 1.501536727733499554e-01 6.579450919051620973e-03
1.025391326660174407e+00 2.763847587890658208e-01 2.168878613281242582e-02 1.810904017089858487e+00 1.083253188964826030e+00 2.093595429687490350e-01 6.660567591638138829e+00 2.400981249933205608e-01 1.307805297642304077e-01 7.905701215409115246e-03
1.009128002929703394e+00 2.863738466796908466e-01 2.244548144531247069e-02 1.801916434570315584e+00 1.050267721679669641e+00 2.360391323242173323e-01 6.774518541256663084e+00 2.489828041546936210e-01 1.510056058261519396e-01 1.629641248892311003e-02
1.004736990234390337e+00 2.834620927734398110e-01 2.162388476562491710e-02 1.930979182128912397e+00 1.042361634277327642e+00 2.170473139648439187e-01 6.664784413708545685e+00 2.462567768916447686e-01 1.487934016096550127e-01 1.182845082184501989e-02
1.020195247558605356e+00 2.867057001953146611e-01 2.137323681640622419e-02 1.879437092285169086e+00 1.073597917968736493e+00 2.080190444335943689e-01 6.170692694557819991e+00 2.488592573403404784e-01 1.690310722959570411e-01 2.018002518597960052e-02
1.003701339355488109e+00 2.856634638671913251e-01 2.202423144531245880e-02 1.764602464355476741e+00 1.017307881347639276e+00 2.148891088867169175e-01 6.965216503429259021e+00 2.474073764087381389e-01 1.103898940962608488e-01 7.284766508073610772e-03
9.941156298828294213e-01 2.812691181640656346e-01 2.053145654296873249e-02 1.826329823730477253e+00 1.117894154296856124e+00 2.228530644531236671e-01 7.035493569431568339e+00 2.434623972230848810e-01 1.094419700070560081e-01 3.474438286613491886e-03
9.962199091797006023e-01 2.803556391601586539e-01 2.035741992187494950e-02 1.828685088378915857e+00 1.038510907714823350e+00 2.144391728515609996e-01 7.076150769118028094e+00 2.419183887206082240e-01 1.100746105822840853e-01 5.730848846399284185e-03
1.005516443847674468e+00 2.858995332031288861e-01 2.211489453124992552e-02 1.792688880859381717e+00 9.917594331054538914e-01 2.071048471679671765e-01 6.812466314266876211e+00 2.475973187999044034e-01 1.196341689174959672e-01 7.950572589075137128e-03
1.022357979980483167e+00 2.768784072265653706e-01 2.126767822265629090e-02 1.870638217773452405e+00 1.101960786132792247e+00 2.239114702148430058e-01 6.454424670599280489e+00 2.416611572789545692e-01 1.331723685421583592e-01 5.199271687243025609e-03
1.002706417968765695e+00 2.907087167968768759e-01 2.168193359375001142e-02 1.911335569335957940e+00 1.183058821289042051e+00 2.177496459960934216e-01 6.317591499024184820e+00 2.539128950627439485e-01 1.515920328777234372e-01 1.221700827460045144e-02
1.011836809082044875e+00 2.797359091796902675e-01 2.142679052734370454e-02 1.849886222167976602e+00 9.940525590820110668e-01 2.304184091796870337e-01 6.856868931422672730e+00 2.430779451692355875e-01 1.238374093232469803e-01 8.515631501199093581e-03
9.836358837890799567e-01 2.860235517578154085e-01 2.048939208984370750e-02 1.835250726074237670e+00 1.138262341796852706e+00 2.317624047851534475e-01 6.957738137218694163e+00 2.492020837532828159e-01 1.208433161284857282e-01 2.399257019940477780e-03
1.009892701171893892e+00 2.814425903320346145e-01 2.182857861328122220e-02 1.825974738281255894e+00 1.035218836914047591e+00 2.059228681640608016e-01 6.746466853011816589e+00 2.443645094524333483e-01 1.403599708362417708e-01 9.233615382186054210e-03
1.000244869140639592e+00 2.807292685546898814e-01 2.235395703124993388e-02 1.876827987792971886e+00 1.033579519531230062e+00 2.457322597656235730e-01 7.083454461929218127e+00 2.452382405899855289e-01 1.477541770932681298e-01 9.223172202912650192e-03
1.039587833984390475e+00 2.774110849609408569e-01 2.237228027343750314e-02 1.796772517578131056e+00 9.242908393554571944e-01 1.719533227539064568e-01 6.194713593221967685e+00 2.404194113550369716e-01 1.259002492901290515e-01 5.807398815672832303e-03
9.833048178711099041e-01 2.860482675781271800e-01 1.997751855468750393e-02 1.887176591308617812e+00 1.196775582519508774e+00 2.598901909179657244e-01 6.818597574822575780e+00 2.502175119466231723e-01 1.188275192991996160e-01 8.617994655160978986e-04
1.031147562500013271e+00 2.771995913085953944e-01 2.156591992187494033e-02 1.881031958984381136e+00 9.573214633788927896e-01 2.343330830078131644e-01 6.827083723523861281e+00 2.399234963222414974e-01 1.409171226469120020e-01 2.075858676029095420e-02
1.016896860351577558e+00 2.773103496093777265e-01 2.169198681640636950e-02 1.914132755859378809e+00 1.043953790039048757e+00 2.148838359374997398e-01 6.517516320804468855e+00 2.422454586583852321e-01 1.345643482451817086e-01 3.419799006542180702e-03
1.019224782714866162e+00 2.736624003906288349e-01 2.228124707031233984e-02 1.664623299316409621e+00 1.076049857910143626e+00 1.526463188476545052e-01 7.052684155426127255e+00 2.353108408677787589e-01 1.219038572824945876e-01 3.780719658104601290e-03
9.915675639648602324e-01 2.842116450195344424e-01 2.083927539062488399e-02 1.880545588867190920e+00 1.067062624511705637e+00 2.189065034179680513e-01 7.006837733163648885e+00 2.450588416530668223e-01 1.459746065803634585e-01 1.504404674181984529e-02
1.012362955078144555e+00 2.821570625000038857e-01 2.223151708984367689e-02 1.742293691406258116e+00 1.061008002441386378e+00 1.990857363281231251e-01 6.573570789516830715e+00 2.452713731348310777e-01 1.529253589562544202e-01 7.078996779715000624e-03
1.002929929687515154e+00 2.859529775390654560e-01 2.215281494140620283e-02 1.880492266113290345e+00 1.056476733398417522e+00 2.342680195312486779e-01 6.692249890428175974e+00 2.498475117647748767e-01 1.469859420764635660e-01 9.604434646948521032e-03
1.010647537597674672e+00 2.830847451171911722e-01 2.194334277343752346e-02 1.779148762695325736e+00 1.065710893554666194e+00 2.120567416992172882e-01 6.708911166985314978e+00 2.460717711569508359e-01 1.167899422925924718e-01 3.988660330614456594e-03
1.006165423339859810e+00 2.826492431640648673e-01 2.227176464843743861e-02 1.914387405273445975e+00 1.098843489257792960e+00 2.271752260742182505e-01 6.645038373808337617e+00 2.473743003728257062e-01 1.602539317303179611e-01 1.014772204369556591e-02
1.007974970703145789e+00 2.856117744140664327e-01 2.221413037109371338e-02 1.746764148925787463e+00 1.038585908203109032e+00 1.976225087890604581e-01 6.873299983635850374e+00 2.467913832992243151e-01 1.230871861251094795e-01 1.016057010030187516e-02
9.882536948242361952e-01 2.861121948242221213e-01 2.024549560546865662e-02 1.820161831054700530e+00 1.045831900390605806e+00 2.024485209960920351e-01 6.954768743448647150e+00 2.463315771194578008e-01 1.131293978074645462e-01 7.041436443016511372e-03
1.002796311523449502e+00 2.819955307617215690e-01 2.134586181640624539e-02 1.864001635742199570e+00 1.015683674804666481e+00 2.337621801757801820e-01 6.736825527115245293e+00 2.460410395064835665e-01 1.430351828472889997e-01 7.251098793926840161e-03
9.990983706054850089e-01 2.818158344726587883e-01 2.018184521484369526e-02 1.815651864746112620e+00 1.132200572265605665e+00 2.026400224609362921e-01 6.818650950282879819e+00 2.432291401565228328e-01 1.052261336083777227e-01 3.199606506221594395e-03
1.005540306640640313e+00 2.780114477539086804e-01 2.204202978515634390e-02 1.888409020507819225e+00 1.097426873046854601e+00 2.587107978515607587e-01 7.190728721269612933e+00 2.420461655178215987e-01 1.114440708030371568e-01 3.882620079341591278e-03
1.012097172851581295e+00 2.864074252929724729e-01 2.279435888671867486e-02 1.796100284179693363e+00 1.067717455566385309e+00 2.121725820312481969e-01 6.622553406425713440e+00 2.494025794802314233e-01 1.457726439272072350e-01 1.142868671768251104e-02
9.893330986328294774e-01 2.886669042968784127e-01 2.100192871093743349e-02 1.838719909179696632e+00 1.023238289062478490e+00 2.280078989257793010e-01 7.057590178811656401e+00 2.496550121260459332e-01 1.068353016750833717e-01 8.435984222936693949e-03
9.891612304687692481e-01 2.882555800781276822e-01 2.106880273437492651e-02 1.822629291503921722e+00 1.120662307128881263e+00 2.305543476562476046e-01 7.135603781593168549e+00 2.495946974230481841e-01 1.022740239670220236e-01 7.741622427822820660e-03
9.877924707031445761e-01 2.902369111328158002e-01 2.190624707031248175e-02 1.835987697265636154e+00 1.086499196777320986e+00 2.291801918945285399e-01 6.856109265042008794e+00 2.533912038416040180e-01 1.318758526511297213e-01 6.517362335062669952e-03
1.023669107421886437e+00 2.756940722656265330e-01 2.000760400390625207e-02 1.927280314453137189e+00 1.104261933105457505e+00 1.981602900390641853e-01 6.204002008911706945e+00 2.387626331018508630e-01 1.241492268125281156e-01 4.145813401901119952e-03
1.001532776367201727e+00 2.805451669921885660e-01 2.083867822265618105e-02 2.030049561035165429e+00 1.054942897460919848e+00 2.371452895507823455e-01 6.818463865400685719e+00 2.447227382171911214e-01 1.525491517113035655e-01 1.429582397770008846e-02
9.983359741211064176e-01 2.804474252929707867e-01 2.102904638671864931e-02 1.867928253906257163e+00 9.649818305663881990e-01 2.269394223632806851e-01 7.153148791863274347e+00 2.431693166648381255e-01 1.228738268794305477e-01 8.645087773829758168e-03
1.000976515625012553e+00 2.859278095703151057e-01 2.207737792968736401e-02 1.879882023925788959e+00 1.090434943359355202e+00 2.468941147460925190e-01 6.859160532010589506e+00 2.489728885909306411e-01 1.590306628738567818e-01 1.644894110250317426e-02
1.016783491699233100e+00 2.815191523437529653e-01 2.154126367187503277e-02 1.840959176269538311e+00 1.016806631835919461e+00 2.263853994140615222e-01 6.444254863728168914e+00 2.446481834377459419e-01 1.619848747943714584e-01 1.289388839786949868e-02
1.018185270507827811e+00 2.836478188476587725e-01 2.268223632812500085e-02 1.841471446777344978e+00 9.733797373046707557e-01 2.124519458007805006e-01 6.514862791393823294e+00 2.471998080461596525e-01 1.476951277465033407e-01 1.089704578334402783e-02
9.997858569336131040e-01 2.836898955078154816e-01 2.097080224609372198e-02 1.792688302246117749e+00 1.214895675781228368e+00 2.277672333984354369e-01 6.961034834226278001e+00 2.460069731966858519e-01 9.364637827415751847e-02 1.973333181294460205e-03
1.013577827636735096e+00 2.815624311523469148e-01 2.139738964843755642e-02 1.822378823242199353e+00 1.049082631835916990e+00 2.130618657226558965e-01 6.569865620068418899e+00 2.446510463109599631e-01 1.179584749067306843e-01 4.407473084432430958e-03
1.031423846191418914e+00 2.769058125000031789e-01 2.220699609375005601e-02 1.873709513671887761e+00 9.864947045898241340e-01 2.336863774414061901e-01 6.406327395745077702e+00 2.424752269940994576e-01 1.360786816040478742e-01 6.334565889741591502e-03
9.824296523437674455e-01 2.900023994140651928e-01 2.122492919921866936e-02 1.887396354980481972e+00 1.142169222656226557e+00 2.261260620117167275e-01 7.040378444847105399e+00 2.519797436345077579e-01 1.267852687414036117e-01 1.031070333158698102e-02
1.006708122558608753e+00 2.761723149414089251e-01 2.164148291015634620e-02 1.857323605957034829e+00 1.080282452636702750e+00 2.172719648437493600e-01 6.941844563995081430e+00 2.403849704102667961e-01 1.247886261518801471e-01 1.984123689221786811e-03
1.029096801757826807e+00 2.822937636718773624e-01 2.273424218750004847e-02 1.939679755371104264e+00 1.021569274902326629e+00 2.206957270507818314e-01 6.213395336280802539e+00 2.471803283470576373e-01 1.522775699479829992e-01 1.104866063330945357e-02
1.004259956542982390e+00 2.866616767578156200e-01 2.291589599609371308e-02 1.836779253417970326e+00 9.403447285156070201e-01 2.615523754882796981e-01 6.933500121562163443e+00 2.504427835014340076e-01 1.497926642703062416e-01 1.453331388354921726e-02
1.013966467285165818e+00 2.690134311523447730e-01 2.126172753906251447e-02 1.947597131835943074e+00 1.001799654296855913e+00 2.458955996093754037e-01 6.797792648320081454e+00 2.358455229699891187e-01 1.752964393057802883e-01 7.267413213250324862e-03
1.012103900878924767e+00 2.826984731445342791e-01 2.134347851562503826e-02 1.799348305664074887e+00 1.070187902343724851e+00 2.178985654296861640e-01 6.703192369945990770e+00 2.451773798919671121e-01 1.067221337716755258e-01 5.259376199223711815e-03
