M Y Z alpha diffusion overshoot age X_c Y_surf
1.013062036132812871e+00 2.707636103515616566e-01 2.056155468749985837e-02 1.906921299804704262e+00 7.503485205078098685e-01 1.547499707031252392e-01 4.514754172566578738e+00 3.667970633926730950e-01 2.565993397241415619e-01
1.020926253906247139e+00 2.698996562499988983e-01 2.106079980468735652e-02 1.887606042968764219e+00 7.872446025390585911e-01 1.479624697265626287e-01 4.467141975503156281e+00 3.677359020972939541e-01 2.560370530434856740e-01
1.017771104492185552e+00 2.673727724609356038e-01 2.186234277343736959e-02 1.926634176757822114e+00 7.874660537109315905e-01 1.612833837890628730e-01 4.432922470612467691e+00 3.844464313764592300e-01 2.545642070459736006e-01
1.010130819335937735e+00 2.768798779296876567e-01 2.014568652343737623e-02 1.913388033203142991e+00 1.080385220703123927e+00 1.598293046875001733e-01 4.577309005141888321e+00 3.415981244791866933e-01 2.556732057745345621e-01
1.014891732421873138e+00 2.741954462890620614e-01 1.974434570312488466e-02 1.865413331054704527e+00 9.102463115234353808e-01 1.449720957031249702e-01 4.565342829033032679e+00 3.410294781390126317e-01 2.564542590243726328e-01
1.015158957031247589e+00 2.765778232421869931e-01 2.032557421874986447e-02 1.866480818359388394e+00 1.112482917968748986e+00 1.493693427734374135e-01 4.578873311371474131e+00 3.381238502774948085e-01 2.554080307480342538e-01
1.013251948242189560e+00 2.800112607421871291e-01 2.010816894531237270e-02 1.950493944335955687e+00 1.242907995117190856e+00 1.587309150390626422e-01 4.395486682123382671e+00 3.415578264628381100e-01 2.559547373779271218e-01
1.030146854492189457e+00 2.671757509765619876e-01 2.204491015624989239e-02 2.052949074218763936e+00 7.399957998046856611e-01 1.639054853515627130e-01 4.276370909449558333e+00 3.808043200730805156e-01 2.547564154991225349e-01
1.005606893554690240e+00 2.674258271484371563e-01 1.854845019531234374e-02 2.002874389648457321e+00 6.050867861328108610e-01 1.471609013671881794e-01 4.356159581638068268e+00 3.755526595037324000e-01 2.553904207942854221e-01
9.963381396484376484e-01 2.756863369140620801e-01 1.938311523437487305e-02 1.865565423828141167e+00 9.482861318359341318e-01 1.611294980468751525e-01 4.693210701001498286e+00 3.491343882240242058e-01 2.566632057932761724e-01
1.019322626953127031e+00 2.713165859374994104e-01 2.147228808593732927e-02 1.934721021484392844e+00 7.884798193359348062e-01 1.651320625000000097e-01 4.445880776534062662e+00 3.731819119912366256e-01 2.571565398264713531e-01
1.017571039062501903e+00 2.660066757812490912e-01 2.018636230468735457e-02 1.978135356445329451e+00 7.064248544921847284e-01 1.586387880859378707e-01 4.367899297316701457e+00 3.809672299704691123e-01 2.530808710810862894e-01
9.999428261718751321e-01 2.731514326171869400e-01 1.872453613281235135e-02 1.893011958007831730e+00 8.084558681640595657e-01 1.517578154296875814e-01 4.594942025717859480e+00 3.554643083055775143e-01 2.567871338728142105e-01
1.017032233398437846e+00 2.686834960937485306e-01 2.062009374999985295e-02 1.916154387695325534e+00 5.939126601562487728e-01 1.517465419921878444e-01 4.465690984884148840e+00 3.724168839891804361e-01 2.576850260466063136e-01
9.982320205078140107e-01 2.777231953124998931e-01 1.793214843749987852e-02 1.915780671875020769e+00 1.052931416992188174e+00 1.600257802734374735e-01 4.727986106326714122e+00 3.268205218542985513e-01 2.550535891117867160e-01
1.006215630859375043e+00 2.734078349609370129e-01 1.890798242187484782e-02 1.891692416015642975e+00 9.188374853515589580e-01 1.506919169921873969e-01 4.623330895208964009e+00 3.437446168517868661e-01 2.543907696635902549e-01
1.011931087890623138e+00 2.717911054687488503e-01 2.130413769531237789e-02 1.919180151367201326e+00 8.151561298828083890e-01 1.528572548828127375e-01 4.540947375677743203e+00 3.649109403344122926e-01 2.574452909417454527e-01
1.001313660156252894e+00 2.683209853515617915e-01 2.054538281249988080e-02 2.066364280273452092e+00 6.983556357421850658e-01 1.694054150390629510e-01 4.402268569761298878e+00 3.898021982698861021e-01 2.560529250659546729e-01
1.008945925781249864e+00 2.665466845703107768e-01 2.086404687499988572e-02 1.962250002929699866e+00 7.376425097656218455e-01 1.860383847656258416e-01 4.389515937932158884e+00 3.979312467689390398e-01 2.540973193364837734e-01
1.018811912109377271e+00 2.667324404296858575e-01 2.124354199218735084e-02 1.963675497070324960e+00 6.956724999999963632e-01 1.609620966796879715e-01 4.233530920261639352e+00 3.964112380437050387e-01 2.543601543379648833e-01
1.016788926757812295e+00 2.694593945312492855e-01 2.208024609374987374e-02 1.973867434570325097e+00 7.678139638671842571e-01 1.752276513671882641e-01 4.411180200256723083e+00 3.850291767425905731e-01 2.569307587766040402e-01
1.019537559570315333e+00 2.653139833984367035e-01 2.102995703124989346e-02 2.031189321289077032e+00 6.159799404296862901e-01 1.702334951171880217e-01 4.329671641557872874e+00 3.922557719144932342e-01 2.546364234322185949e-01
1.022979013671874604e+00 2.732126874999992183e-01 1.994908007812488601e-02 1.885293958007830062e+00 9.357196796874980294e-01 1.511645751953123451e-01 4.624339166646404209e+00 3.325875877038435569e-01 2.546328026267168920e-01
1.023382429687498263e+00 2.733323818359366664e-01 2.071776464843739368e-02 1.882125851562514329e+00 1.029927510742183916e+00 1.649900087890627254e-01 4.434562132215366326e+00 3.601686492648469851e-01 2.546888900924061949e-01
1.016437757812503007e+00 2.657486748046871128e-01 1.979473144531235240e-02 2.028862838867207419e+00 7.334544042968718092e-01 1.585964794921878029e-01 4.353174799688360075e+00 3.822764604379255693e-01 2.518801090784901220e-01
1.020507632812501342e+00 2.761726279296868314e-01 2.039758984374988662e-02 1.922262813476582233e+00 1.102116948242187089e+00 1.544558496093749733e-01 4.370928155969926010e+00 3.493520730913668437e-01 2.549176412050013774e-01
1.018183685546878881e+00 2.718014814453112993e-01 2.032397851562487562e-02 2.035490992187514614e+00 9.481978349609356815e-01 1.451806347656255658e-01 4.127384972820330233e+00 3.762041939548270153e-01 2.555874343378499725e-01
1.014411395507810454e+00 2.749079951171868319e-01 2.061574511718736180e-02 1.887607599609390174e+00 8.638054550781224528e-01 1.420007470703125996e-01 4.574783828165488231e+00 3.438541232916765278e-01 2.592074767570022864e-01
1.017371929687502341e+00 2.650110410156240603e-01 2.047765722656237630e-02 1.999528170898450030e+00 6.512676279296860660e-01 1.564434433593755169e-01 4.346710530592350352e+00 3.858141919868245395e-01 2.534681301936485553e-01
1.008570287109374020e+00 2.740231855468737154e-01 2.291294335937488907e-02 1.899061792968761875e+00 8.886661591796807258e-01 1.923206083984378700e-01 4.819259330610191405e+00 3.651884831527072994e-01 2.576978891994279874e-01
1.010894482421873519e+00 2.724166816406246583e-01 1.981783593749986139e-02 1.875460162109391149e+00 8.657928789062481201e-01 1.441090703125001427e-01 4.480552139115080656e+00 3.565055183288608487e-01 2.563864901266476037e-01
1.024501669921877856e+00 2.672339999999993609e-01 2.166634082031237626e-02 2.034393316406264862e+00 8.453595537109328539e-01 1.640991708984376463e-01 4.160932192230148097e+00 3.937570997446138699e-01 2.530862160884022050e-01
9.984979560546868305e-01 2.741917890624991361e-01 1.849638281249987512e-02 1.864947792968764784e+00 1.120914086914063246e+00 1.618087656250000728e-01 4.597424357553776098e+00 3.549026985272881740e-01 2.524401968590655465e-01
9.874128330078139060e-01 2.674819736328121755e-01 1.913243847656234675e-02 2.042805052734390170e+00 6.127914443359355756e-01 1.706569248046879983e-01 4.527498793922339004e+00 3.930109462734779902e-01 2.556743762915610896e-01
1.010833109374998706e+00 2.701812548828113059e-01 2.052048730468736606e-02 1.870314620117203175e+00 6.686513886718734589e-01 1.557226933593752749e-01 4.607761184970658341e+00 3.671109848145664434e-01 2.573167844452524666e-01
1.013907143554686918e+00 2.716311396484359375e-01 2.180730957031239495e-02 1.920422083984388184e+00 8.719273945312422391e-01 1.703570585937504711e-01 4.551404893425555542e+00 3.721145487776926775e-01 2.559436808501396321e-01
1.004913779296873866e+00 2.701622148437486937e-01 1.983594238281235697e-02 1.897791381835952862e+00 6.563242568359356488e-01 1.469872578125001050e-01 4.650915976978116539e+00 3.608525044144327842e-01 2.573769939575958898e-01
1.020828763671877137e+00 2.729383330078123948e-01 1.965574902343741881e-02 1.914002185546896273e+00 9.832957138671862829e-01 1.839743750000001066e-01 4.343323007145464487e+00 3.699270606321104493e-01 2.539243644532122035e-01
1.001492282226563058e+00 2.739856152343747575e-01 1.936920019531234924e-02 1.882290048828144657e+00 8.139118281249968501e-01 1.580791328125000783e-01 4.671504016974603601e+00 3.518059859877958884e-01 2.572783493943353594e-01
1.005368397460939978e+00 2.672832177734367209e-01 1.902097167968734917e-02 1.982273254882831015e+00 6.210995908203104099e-01 1.629942480468753729e-01 4.437371426372957117e+00 3.783383192376565951e-01 2.553945285525210385e-01
1.008638099609375782e+00 2.694823359374991512e-01 1.958866210937485267e-02 1.862138421875018324e+00 6.662453828124978994e-01 1.510708222656251543e-01 4.609374504126689587e+00 3.666360401451293494e-01 2.560284605483779119e-01
1.010417449218749431e+00 2.712569785156238034e-01 1.961091210937486104e-02 1.869646787109389585e+00 9.400346640624951400e-01 1.523858828125002340e-01 4.460810777733597909e+00 3.663400541634641017e-01 2.528195379117971764e-01
1.020976499023437345e+00 2.727401171874996866e-01 2.115508398437487836e-02 1.917122756835956121e+00 9.214183447265599236e-01 1.635213652343750490e-01 4.359722015029194431e+00 3.722791414351316885e-01 2.561211364868519191e-01
1.000444510742187987e+00 2.722938623046866069e-01 2.005334082031236254e-02 1.889743238281267779e+00 6.654062402343745575e-01 1.585916171875002556e-01 4.781099091462248651e+00 3.550491540877207530e-01 2.587728903100743327e-01
1.003645370117188129e+00 2.741094833984368817e-01 1.985388085937487418e-02 1.918591175781267255e+00 8.014674990234353924e-01 1.587922285156254665e-01 4.528381062812494307e+00 3.600004325720587151e-01 2.592079669287312149e-01
1.005059826171875947e+00 2.731449824218744049e-01 2.038390820312484947e-02 1.916103983398454558e+00 7.635399746093717299e-01 1.552922548828127303e-01 4.518421511071085916e+00 3.657408302110514708e-01 2.585223900123942986e-01
1.008828689453127092e+00 2.671662138671865860e-01 2.153633691406239489e-02 2.011420845703137505e+00 7.494973906249967621e-01 1.852494951171883564e-01 4.402659875261577760e+00 4.009707263791530418e-01 2.549261933981699646e-01
