M Y Z alpha diffusion overshoot age X_c Y_surf
1.003473678710931294e+00 2.752622539062493656e-01 2.017163183593729051e-02 1.753868829101574933e+00 2.967518886718750193e-01 1.388238320312496776e-01 7.249644018543250468e+00 1.400624461001098997e-01 2.660713755091747568e-01
9.970972812499987459e-01 2.756124912109373382e-01 2.011141894531231697e-02 1.881030698242201149e+00 2.723412773437498546e-01 1.638205439453127299e-01 7.193374574002089794e+00 1.478004660455757846e-01 2.676953382361578204e-01
1.014166832031242249e+00 2.738780009765618972e-01 2.009242675781229559e-02 1.754687465820326420e+00 2.908567578124993114e-01 1.262175029296873641e-01 7.051790541166231385e+00 1.252553479706521589e-01 2.658349515887901138e-01
9.984308476562472334e-01 2.724580292968742379e-01 1.979000390624983258e-02 1.852967630859387871e+00 3.914700302734380188e-01 1.552395185546875944e-01 7.198132835365686155e+00 1.550114497412353187e-01 2.619217765305751899e-01
1.009726870117184871e+00 2.749334208984373085e-01 2.083727832031234337e-02 1.883085390625012234e+00 3.475646787109384905e-01 1.512441884765625966e-01 6.442942958576643342e+00 1.831142569530267716e-01 2.661467206087980708e-01
9.977625605468722902e-01 2.733402929687495653e-01 2.031322558593732716e-02 1.900431389648450153e+00 3.209671103515618906e-01 1.622698037109375768e-01 7.131854145613041318e+00 1.573725800207899650e-01 2.645480208886154538e-01
9.942893095703083661e-01 2.789638535156249710e-01 1.864922851562486605e-02 1.761341225585947745e+00 4.928553017578157780e-01 1.833535048828124903e-01 7.277660800739232272e+00 1.513381570030713774e-01 2.647577067330757483e-01
1.009153674804678769e+00 2.727747626953113680e-01 2.096419238281225714e-02 1.727804652343760905e+00 2.922097988281243119e-01 1.070704746093746468e-01 7.389705004948063483e+00 1.234322996086803653e-01 2.642955852942542316e-01
9.950186123046814712e-01 2.756590361328122851e-01 1.968117089843735013e-02 1.723684179687512419e+00 4.732783750000033041e-01 1.785528886718746044e-01 7.794692364704654430e+00 1.374590044870003247e-01 2.627982080204406823e-01
1.008024569335931764e+00 2.753629482421871000e-01 1.997785742187481103e-02 1.805060291992200971e+00 2.926544511718746633e-01 1.386239394531249558e-01 6.991744366189468707e+00 1.354370391635752457e-01 2.668899768536910910e-01
1.008084800781249513e+00 2.686937304687493921e-01 2.044650683593736765e-02 1.884984005859384970e+00 4.890759501953129695e-01 2.137795537109382360e-01 7.293566626106307460e+00 1.874593673964250473e-01 2.548099485003493814e-01
9.956126083984354613e-01 2.774163535156251581e-01 1.996952343749979972e-02 1.798761287109389206e+00 3.549886728515631029e-01 1.539327763671874405e-01 7.426310127553152007e+00 1.297544684530933523e-01 2.667232484385949620e-01
9.954866562499985472e-01 2.779051630859377120e-01 1.976534960937481253e-02 1.784808299804700571e+00 4.601779570312520273e-01 1.742120683593747499e-01 7.379466242131099918e+00 1.484025011446290510e-01 2.644421200744080380e-01
1.001180736328122212e+00 2.727049628906247913e-01 2.152692578124983450e-02 1.819493508789076008e+00 3.800513789062500147e-01 1.520052050781250108e-01 7.543319747588867585e+00 1.376437394113524948e-01 2.623434943585629675e-01
1.001762151367187492e+00 2.769083037109373868e-01 2.055422656249980551e-02 1.833975469726575769e+00 3.521287421875007873e-01 1.602714628906250494e-01 7.372890399558910346e+00 1.276284609105604873e-01 2.670640104567509332e-01
1.001926913085934290e+00 2.733215224609366611e-01 2.053832910156230818e-02 1.799555412109386854e+00 3.984102080078139596e-01 1.631477900390625735e-01 7.323545003473451054e+00 1.567217925769090747e-01 2.625048478783468253e-01
1.011352184570308843e+00 2.719433437499992889e-01 2.105265136718732083e-02 1.821990843750010525e+00 3.153803603515626941e-01 1.545212011718749001e-01 7.219389149756135993e+00 1.504403211963585840e-01 2.635962706731719285e-01
9.964562470703142161e-01 2.721228105468750380e-01 1.892875097656235295e-02 1.881264489257831629e+00 3.195247646484379866e-01 1.803141718749997069e-01 7.466515643892528864e+00 1.427692734259582152e-01 2.625899381260731746e-01
1.024226225585934458e+00 2.719367880859377973e-01 2.043824511718733694e-02 1.840941586914080386e+00 3.115161044921878064e-01 1.561017021484372436e-01 6.617445452058394295e+00 1.727426774965623579e-01 2.631229702318151342e-01
1.019682909179675967e+00 2.712561074218735047e-01 2.097836035156222523e-02 1.674665431640635527e+00 2.488739707031210890e-01 8.216272851562472779e-02 6.882105874908211796e+00 1.438653128236241086e-01 2.645410956852686790e-01
1.005482407226554464e+00 2.731035019531240504e-01 1.993665234374978126e-02 1.738801126953136489e+00 3.052763124999991473e-01 1.258465605468746529e-01 7.260133723777572712e+00 1.383121704687879094e-01 2.642555179104050800e-01
1.021757351562498028e+00 2.713480166015631578e-01 2.023539160156238512e-02 1.958101918945329034e+00 2.648905126953121636e-01 1.641260800781249307e-01 6.624929371780997833e+00 1.530653061849861496e-01 2.643639896894348085e-01
9.985676308593707251e-01 2.745407812499998101e-01 1.996051367187481537e-02 1.803066978515641017e+00 3.154681718750003139e-01 1.440079345703123570e-01 7.193017378624470659e+00 1.460430382847234809e-01 2.652126255851570136e-01
