l n nu dnu n_g
0 3 148.205 0.137 0 
0 4 178.711 0.130 0 
0 5 209.130 0.124 0 
0 6 238.509 0.118 0 
0 7 266.963 0.113 0 
0 8 294.456 0.053 0 
0 9 322.714 0.030 0 
0 10 351.212 0.032 0 
0 11 379.191 0.021 0 
0 12 407.389 0.020 0 
0 13 436.134 0.015 0 
0 14 465.253 0.015 0 
0 15 494.305 0.018 0 
0 16 523.358 0.029 0 
0 17 552.525 0.052 0 
0 18 582.002 0.145 0 
0 19 611.581 0.182 0 
0 20 641.209 0.191 0 
0 21 670.827 0.200 0 
0 22 700.197 0.210 0 
0 23 730.023 0.221 0 
0 24 759.647 0.232 0 
1 -35 146.956 0.491 38 
1 -34 151.846 0.468 37 
1 -13 154.732 0.446 16 
1 -14 155.829 0.424 17 
1 -31 161.069 0.404 35 
1 -30 165.471 0.385 34 
1 -19 170.223 0.367 23 
1 -4 174.329 0.349 8 
1 -3 179.147 0.333 7 
1 -8 182.877 0.317 12 
1 -25 187.305 0.302 29 
1 -16 193.527 0.287 21 
1 -1 197.781 0.274 6 
1 -6 203.579 0.261 11 
1 -13 209.954 0.248 18 
1 -20 217.513 0.236 25 
1 -7 222.836 0.225 13 
1 -10 228.014 0.214 16 
1 -11 236.722 0.204 17 
1 -8 245.739 0.194 14 
1 -15 250.383 0.185 22 
1 -10 259.684 0.176 17 
1 -1 269.584 0.168 8 
1 -12 275.801 0.160 19 
1 -3 285.891 0.152 11 
1 4 296.028 0.145 4 
1 -9 304.306 0.138 17 
1 4 316.433 0.132 5 
1 3 325.176 0.125 6 
1 -2 338.724 0.119 12 
1 5 347.429 0.114 5 
1 -4 363.213 0.108 15 
1 7 371.667 0.052 4 
1 -2 389.124 0.039 13 
1 9 398.179 0.028 3 
1 0 418.085 0.023 12 
1 9 426.403 0.016 4 
1 2 449.485 0.017 12 
1 7 457.337 0.014 7 
1 8 480.508 0.017 7 
1 5 494.109 0.024 10 
1 12 510.544 0.048 4 
1 7 535.741 0.097 10 
1 8 544.185 0.202 9 
1 15 568.037 0.212 3 
1 10 593.326 0.223 8 
1 11 603.425 0.234 8 
1 14 626.171 0.246 6 
1 13 653.855 0.258 8 
1 14 670.626 0.271 7 
1 15 687.431 0.285 7 
1 16 714.582 0.299 7 
1 17 740.688 0.314 6 
2 -65 143.180 0.985 68 
2 -64 143.807 0.938 67 
2 -63 146.530 0.893 66 
2 -63 146.151 0.851 66 
2 -62 148.506 0.810 65 
2 -61 150.235 0.772 64 
2 -60 153.134 0.735 63 
2 -59 155.258 0.700 62 
2 -58 157.964 0.667 61 
2 -57 160.513 0.635 60 
2 -56 163.952 0.605 59 
2 -55 166.049 0.576 58 
2 -54 167.807 0.548 57 
2 -53 170.416 0.522 57 
2 -52 172.686 0.497 56 
2 -51 174.871 0.474 55 
2 -50 176.134 0.451 54 
2 -49 179.399 0.430 53 
2 -48 183.828 0.409 52 
2 -47 186.580 0.390 51 
2 -46 189.745 0.371 50 
2 -45 194.218 0.354 49 
2 -44 198.422 0.337 48 
2 -43 202.063 0.321 48 
2 -42 204.541 0.305 47 
2 -41 207.246 0.291 46 
2 -40 211.705 0.277 45 
2 -39 216.091 0.264 44 
2 -38 220.639 0.251 43 
2 -37 225.116 0.239 42 
2 -36 229.391 0.228 41 
2 -35 233.397 0.217 41 
2 -34 235.827 0.207 40 
2 -33 239.314 0.197 39 
2 -32 245.078 0.187 38 
2 -31 251.254 0.179 37 
2 -30 258.231 0.170 36 
2 -29 263.659 0.162 36 
2 -28 265.538 0.154 35 
2 -27 273.255 0.147 34 
2 -26 281.508 0.140 33 
2 -25 290.301 0.133 33 
2 -24 291.332 0.127 32 
2 -23 298.945 0.121 31 
2 -22 308.700 0.115 30 
2 -21 318.231 0.110 30 
2 -20 319.813 0.104 29 
2 -19 328.989 0.099 28 
2 -18 339.552 0.095 27 
2 -17 347.670 0.090 27 
2 -16 351.320 0.086 26 
2 -15 361.789 0.082 25 
2 -14 373.166 0.078 25 
2 -13 377.046 0.074 24 
2 -12 387.732 0.071 23 
2 -11 403.168 0.067 23 
2 -10 405.016 0.064 22 
2 -9 421.058 0.041 21 
2 -8 433.481 0.033 21 
2 -7 440.168 0.026 20 
2 -6 461.060 0.025 20 
2 -5 462.804 0.037 19 
2 -4 484.271 0.064 18 
2 -3 491.858 0.166 18 
2 -2 510.016 0.277 17 
2 -1 520.691 0.291 17 
2 0 538.229 0.305 16 
2 1 550.258 0.321 16 
2 2 569.671 0.337 15 
2 3 579.131 0.354 15 
2 4 605.836 0.371 15 
2 5 609.361 0.390 14 
2 6 638.255 0.409 14 
2 7 646.804 0.430 13 
2 8 667.810 0.451 13 
2 9 692.230 0.474 12 
2 10 697.924 0.497 12 
2 11 727.106 0.522 12 
2 12 745.186 0.548 11 
