l n nu dnu n_g
0 3 147.809 0.137 0 
0 4 178.770 0.131 0 
0 5 209.398 0.125 0 
0 6 239.198 0.119 0 
0 7 267.615 0.113 0 
0 8 295.532 0.053 0 
0 9 324.074 0.030 0 
0 10 352.479 0.033 0 
0 11 380.328 0.021 0 
0 12 408.519 0.020 0 
0 13 437.379 0.016 0 
0 14 466.370 0.015 0 
0 15 495.267 0.018 0 
0 16 524.276 0.029 0 
0 17 553.637 0.052 0 
0 18 582.969 0.146 0 
0 19 612.378 0.182 0 
0 20 642.012 0.191 0 
0 21 671.534 0.201 0 
0 22 701.196 0.211 0 
0 23 730.953 0.221 0 
0 24 760.174 0.232 0 
1 -12 157.054 0.506 15 
1 -35 160.178 0.482 38 
1 -34 163.151 0.459 38 
1 -19 167.232 0.437 23 
1 -10 171.645 0.416 14 
1 -3 174.897 0.397 7 
1 -6 178.870 0.378 10 
1 -19 182.754 0.360 23 
1 -28 188.967 0.343 32 
1 -15 194.976 0.326 20 
1 0 197.469 0.311 5 
1 -9 201.492 0.296 14 
1 -20 208.226 0.282 25 
1 -23 215.973 0.268 28 
1 -22 221.867 0.256 28 
1 -7 225.443 0.243 13 
1 -10 232.777 0.232 16 
1 -11 241.502 0.221 17 
1 -18 248.185 0.210 24 
1 -17 252.769 0.200 24 
1 -6 261.918 0.191 13 
1 -1 271.576 0.182 8 
1 -14 277.436 0.173 21 
1 -1 286.681 0.165 9 
1 2 295.401 0.157 6 
1 -11 304.697 0.149 19 
1 2 314.475 0.142 7 
1 1 322.936 0.136 8 
1 -8 336.539 0.129 18 
1 5 344.193 0.123 5 
1 -6 357.687 0.117 16 
1 7 369.307 0.110 4 
1 -4 380.192 0.053 15 
1 5 395.904 0.039 7 
1 -2 405.298 0.029 14 
1 7 423.920 0.023 6 
1 0 433.574 0.017 13 
1 7 452.765 0.017 7 
1 2 465.496 0.014 12 
1 11 482.061 0.017 4 
1 4 501.235 0.024 11 
1 13 511.995 0.048 3 
1 6 537.721 0.097 11 
1 7 547.345 0.203 10 
1 14 568.820 0.213 4 
1 9 593.384 0.224 9 
1 10 602.135 0.235 9 
1 15 627.345 0.247 5 
1 12 653.804 0.259 8 
1 13 664.223 0.272 8 
1 16 686.620 0.286 6 
1 15 713.944 0.300 8 
1 16 736.593 0.315 7 
1 17 749.415 0.331 7 
2 -67 152.059 0.911 70 
2 -66 153.219 0.868 69 
2 -65 156.266 0.826 68 
2 -64 158.796 0.787 67 
2 -63 161.412 0.750 66 
2 -62 164.986 0.714 65 
2 -61 166.176 0.680 64 
2 -60 169.202 0.647 63 
2 -59 171.059 0.617 63 
2 -58 172.075 0.587 62 
2 -57 174.994 0.559 61 
2 -56 177.016 0.533 60 
2 -55 178.826 0.507 59 
2 -54 180.833 0.483 58 
2 -53 184.699 0.460 57 
2 -52 188.150 0.438 56 
2 -50 194.782 0.417 54 
2 -49 199.663 0.397 53 
2 -48 203.108 0.379 53 
2 -47 205.335 0.361 52 
2 -46 206.991 0.343 51 
2 -45 210.833 0.327 50 
2 -44 215.183 0.311 49 
2 -43 219.505 0.297 48 
2 -42 223.799 0.282 47 
2 -41 227.888 0.269 46 
2 -40 232.173 0.256 45 
2 -39 235.666 0.244 45 
2 -38 237.078 0.232 44 
2 -37 241.787 0.221 43 
2 -36 246.977 0.211 42 
2 -35 252.617 0.201 41 
2 -34 258.872 0.191 40 
2 -33 263.963 0.182 40 
2 -32 265.005 0.173 39 
2 -31 271.982 0.165 38 
2 -30 278.811 0.157 37 
2 -29 286.422 0.150 36 
2 -28 292.388 0.143 36 
2 -27 294.502 0.136 35 
2 -26 302.597 0.129 34 
2 -25 311.650 0.123 33 
2 -24 320.559 0.117 33 
2 -23 321.471 0.112 32 
2 -22 331.064 0.106 31 
2 -21 341.441 0.101 30 
2 -20 349.107 0.097 30 
2 -19 352.353 0.092 29 
2 -18 362.079 0.088 28 
2 -17 372.402 0.083 27 
2 -16 377.979 0.079 27 
2 -15 384.840 0.076 26 
2 -14 398.095 0.072 25 
2 -13 406.140 0.069 25 
2 -12 413.112 0.065 24 
2 -11 429.065 0.042 23 
2 -10 434.954 0.033 23 
2 -9 446.760 0.027 22 
2 -8 463.717 0.025 22 
2 -7 466.370 0.038 21 
2 -6 487.614 0.064 20 
2 -5 492.818 0.166 20 
2 -4 511.287 0.278 19 
2 -3 521.767 0.291 19 
2 -2 537.249 0.306 18 
2 -1 550.834 0.321 18 
2 0 565.251 0.337 17 
2 1 580.726 0.354 17 
2 2 596.773 0.372 16 
2 3 609.795 0.391 16 
2 4 632.272 0.410 15 
2 5 639.666 0.431 15 
2 6 668.952 0.452 15 
2 7 671.440 0.475 14 
2 8 698.584 0.499 14 
2 9 715.076 0.523 13 
2 10 728.731 0.550 13 
2 11 757.462 0.577 13 
