n_tracks m_points variable cv oob
256 4 M 0.896330540253 0.914035062351
256 4 Y 0.0175488934047 0.180124250061
256 4 Z 0.96786600592 0.967898679702
256 4 alpha -0.00618566118896 0.0602880633088
256 4 overshoot 0.325733385601 0.344680428312
256 4 diffusion 0.235318744646 0.218896415066
256 4 age 0.863348838275 0.914666626849
256 4 X_c 0.884963717371 0.976908634903
256 4 log_g 0.999673184717 0.99821753623
256 4 L 0.969527277712 0.978577395129
256 4 radius 0.987141719384 0.983707750315
256 4 Y_surf 0.823787306098 0.833357189552
256 4 mass_cc 0.60115823926 0.794132561689
256 4 M 0.908551359444 0.909480366244
256 4 Y 0.0497379390561 0.100245502822
256 4 Z 0.966953956281 0.957888603255
256 4 alpha -0.00339219291021 0.0426529586144
256 4 overshoot 0.33151198017 0.306127893343
256 4 diffusion 0.267555736314 0.329568785599
256 4 age 0.883205154792 0.885285705462
256 4 X_c 0.888044445866 0.972991996497
256 4 log_g 0.999567379931 0.999645249183
256 4 L 0.97213756781 0.972209026693
256 4 radius 0.986390308643 0.986848953531
256 4 Y_surf 0.817756013614 0.852670800188
256 4 mass_cc 0.603519018628 0.812735389134
256 4 M 0.90569982375 0.918956064241
256 4 Y 0.0401027856199 0.247912902607
256 4 Z 0.962012073456 0.973596266039
256 4 alpha 0.00634880822243 0.00684001349418
256 4 overshoot 0.304059101361 0.294432156031
256 4 diffusion 0.256241554536 0.395795363361
256 4 age 0.867924674978 0.878352500298
256 4 X_c 0.882404241015 0.97206884223
256 4 log_g 0.999876475175 0.998510824114
256 4 L 0.979886045991 0.980456512268
256 4 radius 0.987440425966 0.983021201075
256 4 Y_surf 0.833942537895 0.850400211217
256 4 mass_cc 0.619557942893 0.799785335417
256 4 M 0.894845941761 0.922995540893
256 4 Y 0.0172137982954 0.218165212121
256 4 Z 0.964298320138 0.978347813827
256 4 alpha -0.0221844197018 0.0892003180826
256 4 overshoot 0.278391264431 0.258338373696
256 4 diffusion 0.217489221069 0.35851942959
256 4 age 0.88220838356 0.894441157424
256 4 X_c 0.886958320102 0.976000515654
256 4 log_g 0.999629404595 0.998172329713
256 4 L 0.982815552241 0.97610316405
