n l nu dnu
12 1 1269.15197 1.00798664872 
13 1 1359.1459 0.73940124922 
14 1 1449.83858 0.778688185157 
15 1 1543.243905 0.935555059896 
16 0 1591.464105 0.443073397616 
16 1 1636.18665 0.551909433719 
16 2 1677.90903 0.860930647519 
17 0 1685.434565 0.631860130491 
17 1 1724.59483 0.655533971168 
17 2 1768.01503 0.871861782766 
18 0 1775.08007 0.444666039162 
18 1 1817.74453 0.592773740786 
18 2 1859.55823 0.869823880996 
19 0 1867.464815 0.62051500225 
19 1 1908.34047 0.69898481379 
20 0 1959.84841 0.610263725644 
20 1 1999.73071 0.657670971737 
20 2 2045.684995 0.974956162698 
21 0 2051.33201 0.789992983071 
21 1 2095.42924 0.839741519717 
22 0 2145.72367 0.802974395435 
22 1 2190.19318 0.838406876764 
23 1 2283.88637 0.847257070831 
24 1 2373.98883 0.794582982933 
25 1 2467.98656 0.92074283119 
26 1 2563.39579 0.862207592226 
