l n nu dnu n_g
0 3 171.353 0.153 0 
0 4 202.906 0.146 0 
0 5 233.614 0.139 0 
0 6 265.756 0.132 0 
0 7 297.925 0.126 0 
0 8 330.398 0.060 0 
0 9 362.834 0.034 0 
0 10 394.482 0.036 0 
0 11 425.690 0.024 0 
0 12 457.727 0.023 0 
0 13 490.731 0.017 0 
0 14 524.394 0.017 0 
0 15 558.307 0.020 0 
0 16 591.882 0.032 0 
0 17 625.109 0.059 0 
0 18 658.191 0.165 0 
0 19 691.703 0.205 0 
0 20 725.497 0.216 0 
0 21 759.260 0.226 0 
0 22 792.727 0.238 0 
0 23 826.941 0.250 0 
0 24 860.589 0.262 0 
1 -13 159.106 0.232 16 
1 -4 166.890 0.221 7 
1 -11 173.427 0.211 14 
1 -10 179.920 0.201 14 
1 -9 187.429 0.191 13 
1 -8 201.390 0.182 12 
1 -7 209.667 0.173 11 
1 -6 218.892 0.165 11 
1 -5 238.702 0.157 10 
1 -4 241.934 0.150 9 
1 -3 265.160 0.143 9 
1 2 273.242 0.136 4 
1 -1 296.253 0.129 8 
1 2 305.298 0.123 5 
1 5 331.400 0.117 3 
1 2 341.095 0.112 6 
1 7 364.679 0.108 2 
1 4 381.949 0.054 6 
1 5 401.834 0.040 5 
1 8 421.295 0.030 3 
1 7 442.502 0.024 5 
1 8 467.321 0.018 4 
1 11 487.104 0.018 2 
1 12 510.748 0.015 2 
1 11 540.262 0.019 4 
1 12 566.809 0.027 3 
1 13 584.466 0.054 3 
1 14 610.997 0.111 3 
1 15 642.820 0.239 3 
1 16 674.335 0.250 3 
1 17 705.764 0.263 2 
1 18 729.531 0.276 2 
1 19 747.588 0.290 2 
1 20 776.944 0.304 2 
1 21 810.107 0.320 2 
1 22 843.596 0.336 2 
2 -25 157.034 0.270 28 
2 -24 163.267 0.257 27 
2 -23 168.041 0.245 26 
2 -22 170.416 0.233 25 
2 -21 176.724 0.222 24 
2 -20 184.448 0.211 23 
2 -19 191.343 0.201 23 
2 -18 194.278 0.192 22 
2 -17 201.923 0.183 21 
2 -16 209.291 0.174 20 
2 -15 214.376 0.166 19 
2 -14 224.691 0.158 19 
2 -13 230.110 0.150 18 
2 -12 237.690 0.143 17 
2 -11 251.588 0.136 16 
2 -10 259.245 0.130 16 
2 -9 267.718 0.124 15 
2 -8 281.419 0.118 14 
2 -7 290.326 0.112 14 
2 -6 297.311 0.107 13 
2 -5 311.257 0.102 12 
2 -4 326.142 0.097 12 
2 -3 334.054 0.092 11 
2 -2 358.504 0.088 11 
2 -1 361.775 0.084 10 
2 0 390.658 0.080 10 
2 1 394.914 0.076 9 
2 2 421.971 0.072 9 
2 3 435.099 0.069 8 
2 4 454.148 0.044 8 
2 5 484.013 0.037 8 
2 6 487.369 0.029 7 
2 7 520.915 0.029 7 
2 8 545.461 0.044 6 
2 9 554.986 0.073 6 
2 10 588.571 0.198 6 
2 11 620.287 0.337 6 
2 12 622.485 0.354 5 
2 13 655.193 0.372 5 
2 14 688.198 0.390 5 
2 15 714.763 0.410 4 
2 16 722.081 0.430 4 
2 17 755.837 0.452 4 
2 18 789.595 0.474 4 
2 19 822.933 0.498 4 
2 20 841.184 0.523 3 
2 21 858.254 0.549 3 
