name value uncertainty
Mode 0 0
logP -0.068 0
4.5_A 0.139 0
4.5_Sk 1.155 0
4.5_Ac 1.639 0
4.5_mean_mag 10.468 0.019
4.5_R21 0.396 0.524
4.5_R31 0.251 0.299
4.5_P21 2.875 1.092
4.5_P31 2.666 1.781
