l n nu dnu n_g
0 3 142.574 0.133 0 
0 4 172.643 0.126 0 
0 5 202.536 0.120 0 
0 6 231.582 0.115 0 
0 7 258.850 0.109 0 
0 8 285.800 0.052 0 
0 9 313.370 0.029 0 
0 10 340.719 0.031 0 
0 11 367.647 0.021 0 
0 12 395.033 0.020 0 
0 13 422.824 0.015 0 
0 14 450.666 0.014 0 
0 15 478.508 0.017 0 
0 16 506.623 0.028 0 
0 17 534.872 0.050 0 
0 18 563.361 0.141 0 
0 19 591.450 0.176 0 
0 20 620.183 0.185 0 
0 21 648.778 0.194 0 
0 22 677.286 0.203 0 
0 23 705.980 0.214 0 
0 24 734.140 0.224 0 
1 -16 151.141 0.606 19 
1 -41 151.525 0.577 44 
1 -40 156.653 0.549 44 
1 -25 158.453 0.523 29 
1 -10 162.769 0.498 14 
1 -3 166.233 0.475 7 
1 -4 168.862 0.452 8 
1 -11 172.258 0.431 15 
1 -22 176.734 0.410 26 
1 -33 180.655 0.390 37 
1 -32 185.791 0.372 37 
1 -3 189.380 0.354 8 
1 -6 192.753 0.337 11 
1 -15 197.324 0.321 20 
1 -28 202.671 0.306 33 
1 -27 208.790 0.291 32 
1 -26 215.070 0.278 32 
1 -3 218.049 0.264 9 
1 -14 223.145 0.252 20 
1 -23 230.065 0.240 29 
1 -22 237.552 0.228 28 
1 -21 243.091 0.217 28 
1 -10 247.533 0.207 17 
1 -9 255.625 0.197 16 
1 -6 263.600 0.188 13 
1 -17 269.451 0.179 25 
1 -2 277.334 0.170 10 
1 -1 284.837 0.162 9 
1 -14 293.695 0.155 22 
1 1 302.449 0.147 8 
1 0 309.343 0.140 9 
1 -11 320.941 0.133 20 
1 2 329.640 0.127 8 
1 -1 337.963 0.121 11 
1 -8 352.581 0.115 19 
1 5 358.347 0.106 6 
1 -6 373.034 0.052 17 
1 7 383.138 0.038 6 
1 -4 395.124 0.028 16 
1 7 409.811 0.023 6 
1 -2 419.570 0.016 15 
1 7 437.239 0.016 7 
1 0 446.878 0.013 14 
1 9 465.067 0.016 6 
1 2 477.464 0.023 13 
1 9 493.306 0.046 7 
1 4 511.779 0.093 12 
1 11 522.649 0.194 6 
1 6 547.229 0.204 12 
1 7 556.022 0.214 11 
1 12 577.875 0.225 7 
1 9 598.075 0.236 10 
1 12 608.341 0.248 8 
1 11 633.886 0.260 10 
1 12 654.578 0.273 9 
1 13 665.861 0.287 9 
1 14 691.079 0.301 9 
1 15 716.679 0.316 8 
1 16 729.647 0.332 8 
2 -76 150.437 1.208 79 
2 -75 151.785 1.151 78 
2 -74 152.604 1.096 77 
2 -73 152.195 1.044 76 
2 -72 158.111 0.994 75 
2 -71 160.091 0.947 74 
2 -70 162.242 0.901 73 
2 -69 163.104 0.859 72 
2 -68 165.040 0.818 72 
2 -67 165.867 0.779 71 
2 -66 168.264 0.742 70 
2 -65 170.623 0.706 69 
2 -64 170.977 0.673 68 
2 -63 174.450 0.641 67 
2 -62 176.962 0.610 66 
2 -61 179.622 0.581 65 
2 -60 182.471 0.553 64 
2 -58 188.145 0.527 62 
2 -57 190.787 0.502 61 
2 -56 195.190 0.478 60 
2 -55 196.836 0.455 60 
2 -54 199.183 0.434 59 
2 -53 200.397 0.413 58 
2 -52 204.732 0.393 57 
2 -51 208.103 0.375 56 
2 -50 211.482 0.357 55 
2 -49 215.275 0.340 54 
2 -48 219.717 0.324 53 
2 -47 223.412 0.308 52 
2 -46 226.931 0.293 52 
2 -45 228.269 0.280 51 
2 -44 231.879 0.266 50 
2 -43 235.496 0.254 49 
2 -42 239.504 0.241 48 
2 -41 244.169 0.230 47 
2 -40 249.337 0.219 46 
2 -39 254.627 0.209 46 
2 -38 255.981 0.199 45 
2 -37 260.484 0.189 44 
2 -36 266.441 0.180 43 
2 -35 272.330 0.172 42 
2 -34 279.202 0.163 41 
2 -33 283.221 0.156 41 
2 -32 285.716 0.148 40 
2 -31 292.968 0.141 39 
2 -30 300.582 0.134 38 
2 -29 308.235 0.128 38 
2 -28 310.485 0.122 37 
2 -27 316.568 0.116 36 
2 -26 325.042 0.111 35 
2 -25 334.146 0.105 34 
2 -24 337.801 0.100 34 
2 -23 343.714 0.096 33 
2 -22 353.414 0.091 32 
2 -21 362.736 0.087 32 
2 -20 365.382 0.083 31 
2 -19 373.479 0.079 30 
2 -18 384.079 0.075 29 
2 -17 392.363 0.071 29 
2 -16 396.040 0.068 28 
2 -15 408.830 0.065 27 
2 -14 420.249 0.041 27 
2 -13 423.267 0.032 26 
2 -12 438.694 0.026 25 
2 -11 448.270 0.025 25 
2 -10 455.693 0.037 24 
2 -9 473.749 0.062 24 
2 -8 476.260 0.160 23 
2 -7 494.065 0.268 22 
2 -6 504.008 0.282 22 
2 -5 514.920 0.296 21 
2 -4 532.505 0.311 21 
2 -3 539.093 0.326 20 
2 -2 560.995 0.342 20 
2 -1 564.582 0.359 19 
2 0 589.412 0.377 19 
2 1 592.025 0.396 18 
2 2 617.150 0.416 18 
2 3 623.483 0.437 17 
2 4 646.005 0.459 17 
2 5 658.145 0.482 16 
2 6 674.717 0.506 16 
2 7 696.838 0.531 15 
2 8 702.956 0.558 15 
2 9 731.339 0.586 15 
